scenario,maximum_drawdown_usd,peak_time_utc,trough_time_utc,peak_equity_pnl_usd,trough_equity_pnl_usd,trough_open_positions,trough_open_addons,trough_known_initial_risk_usd,trough_addon_initial_risk_usd
LOCKED_PNL,329.6442066942627,2024-07-17T14:00:00+00:00,2024-09-10T14:10:00+00:00,1952.585104085576,1622.9408973913132,3,0,-1.7763568394002505e-15,-1.7763568394002505e-15
R1_FEE_STRESS,335.34420669426163,2024-07-17T14:00:00+00:00,2024-09-10T14:10:00+00:00,1891.0851040855814,1555.7408973913198,3,0,-1.7763568394002505e-15,-1.7763568394002505e-15
