stage,action_id,trades,source_weekdays,trades_per_weekday,stress_net_r,stress_pf,average_stress_r,closed_drawdown_r,positive_active_month_share,positive_weekday_share,active_weekday_share,minimum_calendar_year_pf,calendar_year_pf,positive_rolling_6m_share,top_winners_removed_stress_net_r,worst_weekday_r,best_weekday_r
fit,FAST_1R_4H,3792,652,5.815950920245399,-481.8063453069125,0.7429546229208044,-0.12705863536574696,525.3873591957986,0.3333333333333333,0.3941717791411043,0.9601226993865031,0.7132607992548518,"{'2016': 0.7132607992548518, '2017': 0.715384821318256, '2018': 0.7910966124492722}",0.1,-490.3474476946762,-10.130902777777777,10.678680555555555
fit,INTRADAY_1P5R_12H,3809,652,5.8420245398773005,-303.0028998672591,0.8689974774577516,-0.07954919923004965,350.10550634874033,0.4,0.4003067484662577,0.9601226993865031,0.8443712720981447,"{'2016': 0.8811538633309829, '2017': 0.8443712720981447, '2018': 0.8863852582783197}",0.23333333333333334,-320.3744685110678,-17.521365740740706,17.38310185185185
fit,SWING_2R_36H,3814,652,5.8496932515337425,-223.15494306660312,0.9166016147610374,-0.0585094239818047,356.23401140215566,0.36666666666666664,0.3880368098159509,0.9601226993865031,0.8911595990654615,"{'2016': 0.969875848786994, '2017': 0.8911595990654615, '2018': 0.9097845669431903}",0.3,-244.54075102317654,-18.472470238095237,26.752721724562008
selection,FAST_1R_4H,5224,784,6.663265306122449,-873.4447877391176,0.7017763653739569,-0.1671984662594023,929.580956248635,0.25,0.32908163265306123,0.9451530612244898,0.6446125184476177,"{'2019': 0.6446125184476177, '2020': 0.789020669202224, '2021': 0.6925719670427121}",0.1111111111111111,-882.5426521141949,-13.630197374096468,13.704374999999999
selection,INTRADAY_1P5R_12H,6859,784,8.748724489795919,-287.7903724825644,0.9326843329230646,-0.041958065677586295,432.2702886238705,0.3611111111111111,0.4145408163265306,0.9693877551020408,0.7575018583618063,"{'2019': 0.7575018583618063, '2020': 1.0477036017484707, '2021': 0.9680177100881605}",0.3055555555555556,-306.38280932963727,-18.409105113846064,26.87474831995783
selection,SWING_2R_36H,7366,784,9.395408163265307,75.03233236832779,1.014922506961448,0.010186306322064593,521.445117577513,0.3888888888888889,0.42346938775510207,0.9783163265306123,0.7369392088317479,"{'2019': 0.7369392088317479, '2020': 1.0845611355949825, '2021': 1.165829684470572}",0.3611111111111111,52.81698265014455,-24.2317682122695,33.25749048337871
internal_test,FAST_1R_4H,4479,521,8.596928982725528,-723.478128433261,0.7167048579324106,-0.16152670873705313,731.5798747193365,0.25,0.3474088291746641,0.9692898272552783,0.633123872804105,"{'2022': 0.633123872804105, '2023': 0.7389630020847802, '2024': 0.7440313573637779}",0.08333333333333333,-732.5083682341067,-23.30590277777778,11.716041666666666
internal_test,INTRADAY_1P5R_12H,5405,521,10.374280230326296,-232.950522895313,0.931952521017653,-0.043099079166570395,371.5996388516101,0.4166666666666667,0.46065259117082535,0.982725527831094,0.8243590847516852,"{'2022': 0.8243590847516852, '2023': 1.016914396668523, '2024': 0.8871864966506692}",0.4166666666666667,-250.45166989170025,-18.804707954891352,24.755068900166037
internal_test,SWING_2R_36H,5583,521,10.715930902111324,178.1020508043159,1.0469011166125242,0.031900779295059266,263.0516493213341,0.5,0.44529750479846447,0.982725527831094,0.9122801802213413,"{'2022': 0.9122801802213413, '2023': 1.1803081847354204, '2024': 0.9622843720307206}",0.5416666666666666,155.85073739960563,-18.433514287342295,34.3355758905257
final_exam,FAST_1R_4H,4615,522,8.840996168582375,-967.4137212028727,0.6561012739600343,-0.20962377490853146,972.0362374102175,0.16666666666666666,0.25862068965517243,0.896551724137931,0.6459674354174079,"{'2024': 0.676201313653576, '2025': 0.6459674354174079, '2026': 0.6543753338209278}",0.0,-977.0831469420211,-13.610713490488468,14.177531390749499
final_exam,INTRADAY_1P5R_12H,8184,522,15.67816091954023,-982.8556623523011,0.8213302427740445,-0.12009477790228508,1098.3524233884175,0.20833333333333334,0.3505747126436782,0.9846743295019157,0.7635640354023588,"{'2024': 0.9531113387992897, '2025': 0.7983469831294522, '2026': 0.7635640354023588}",0.20833333333333334,-1056.092111856669,-23.103939792552705,26.40211763617962
final_exam,SWING_2R_36H,10105,522,19.35823754789272,-73.28398745571633,0.989590582223614,-0.007252250119318786,833.606399046365,0.25,0.4329501915708812,0.9885057471264368,0.8789761718724857,"{'2024': 1.1416851960156393, '2025': 0.9941636690533036, '2026': 0.8789761718724857}",0.3333333333333333,-176.49911246670945,-24.912457144852212,43.2291086563888
recent_tail,FAST_1R_4H,3183,261,12.195402298850574,-696.2707157850402,0.6444996500954915,-0.21874669047597872,698.9313901879516,0.0,0.1839080459770115,0.896551724137931,0.6210475012626988,"{'2025': 0.6210475012626988, '2026': 0.6543753338209278}",0.0,-705.9401415241889,-13.610713490488468,7.904949415309806
recent_tail,INTRADAY_1P5R_12H,4741,261,18.164750957854405,-861.9764632278868,0.7403174674115861,-0.1818132173018112,862.9514453088689,0.0,0.25287356321839083,0.9885057471264368,0.7076712051065728,"{'2025': 0.7076712051065728, '2026': 0.7635640354023588}",0.0,-930.5140169200324,-23.103939792552705,23.57124592239966
recent_tail,SWING_2R_36H,5570,261,21.340996168582375,-739.0609873262001,0.821559830535169,-0.1326859941339677,758.1614198830455,0.0,0.3333333333333333,0.9885057471264368,0.7639826249264362,"{'2025': 0.7639826249264362, '2026': 0.8789761718724857}",0.0,-830.8653600424371,-24.912457144852212,43.2291086563888
