stage,attempt_id,model_id,quantile,score_floor,gate_pass,failed_checks,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_bins,feature_subset,random_state,fit_rows,feature_count,fit_target_mean,fit_score_mean,fit_spearman,trades,source_weekdays,trades_per_weekday,stress_net_r,stress_pf,average_stress_r,closed_drawdown_r,positive_active_month_share,positive_weekday_share,active_weekday_share,minimum_calendar_year_pf,positive_rolling_6m_share,top_winners_removed_stress_net_r,worst_weekday_r,best_weekday_r
selection,M001_P01,M001,0.3,,False,"minimum_pf,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,2129,784,2.7155612244897958,107.39571156894014,1.0811512448614131,0.05044420458851111,129.4615561686782,0.4722222222222222,0.41964285714285715,0.8673469387755102,0.8292155742057573,0.4444444444444444,69.24266060340591,-4.69538884679989,7.530028481554928
selection,M001_P02,M001,0.3,0.0,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1689,784,2.1543367346938775,169.0122619089333,1.1641973939070955,0.10006646649433588,97.08207483283455,0.4444444444444444,0.3979591836734694,0.8086734693877551,0.9467862670054086,0.4722222222222222,130.77927510119292,-4.678133267195768,7.636862484710827
selection,M001_P03,M001,0.4,,False,"minimum_pf,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1971,784,2.514030612244898,101.58448846601982,1.0827745120283225,0.05153956796855394,135.31184470531133,0.5277777777777778,0.40561224489795916,0.8507653061224489,0.830603571288384,0.4166666666666667,63.40595862228736,-4.678133267195768,7.5369948279875025
selection,M001_P04,M001,0.4,0.0,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1667,784,2.126275510204082,159.85063468597002,1.1570613021457907,0.0958912025710678,93.25254039156206,0.4444444444444444,0.39158163265306123,0.8022959183673469,0.9467862670054086,0.4722222222222222,121.61764787822966,-4.678133267195768,7.636862484710827
selection,M001_P05,M001,0.5,,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1751,784,2.233418367346939,174.30521747672174,1.163355405429933,0.09954609793073771,86.38271051153615,0.4722222222222222,0.3903061224489796,0.8048469387755102,0.9171619316779603,0.4444444444444444,136.05782433312817,-5.823925813913527,7.636862484710827
selection,M001_P06,M001,0.5,0.0,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1604,784,2.045918367346939,197.24256047066868,1.2048568047909585,0.12296917735079095,83.88182961753954,0.4722222222222222,0.3877551020408163,0.7844387755102041,0.9512113314896322,0.4722222222222222,159.0095736629283,-5.823925813913527,7.636862484710827
selection,M001_P07,M001,0.6,,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1498,784,1.9107142857142858,187.54343262585857,1.2078840202144414,0.12519588292780945,72.52652487614326,0.4444444444444444,0.3673469387755102,0.7551020408163265,0.9515803922759234,0.4722222222222222,149.31735580119087,-5.823925813913527,7.636862484710827
selection,M001_P08,M001,0.6,0.0,False,"minimum_frequency,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r",0.08,160,31,100,1.0,127,PRICE_REGIME,314159,11409,42,-0.0882379262334373,-0.09391989009323207,0.7199477002063275,1468,784,1.8724489795918366,192.88862781780045,1.2188801168429972,0.1313955230366488,70.31602780297976,0.4444444444444444,0.36862244897959184,0.7512755102040817,0.9614284446897197,0.4722222222222222,154.66964344402163,-5.823925813913527,7.636862484710827
selection,M002_P01,M002,0.3,,False,"minimum_pf,minimum_average_r,minimum_positive_month_share,minimum_calendar_year_pf,maximum_drawdown_r,top_winners_removed_positive",0.08,120,7,300,2.0,63,NO_LOG,314160,11409,52,-0.0882379262334373,-0.08975499923027946,0.47553043745479057,2138,784,2.7270408163265305,34.32637218793721,1.0278620245620165,0.01605536585029804,145.89632664378735,0.4166666666666667,0.45535714285714285,0.8698979591836735,0.8170637037927821,0.3888888888888889,-3.290770641782956,-4.700752314814816,6.936762035401322
selection,M002_P02,M002,0.3,0.0,False,"minimum_frequency,minimum_pf,minimum_positive_month_share,maximum_drawdown_r",0.08,120,7,300,2.0,63,NO_LOG,314160,11409,52,-0.0882379262334373,-0.08975499923027946,0.47553043745479057,1801,784,2.2971938775510203,148.93696783923954,1.149693475514921,0.08269681723444727,95.97653798713338,0.4166666666666667,0.44387755102040816,0.8022959183673469,1.0941455834215257,0.4166666666666667,111.35042167015185,-4.666168981481482,6.936762035401322
