family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,initial_value,previous_initial_value,acceleration,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-02-14,2019-02-14T0000,0,CPI,2019-02-13 13:30:00+00:00,10.5,0.0,-0.1,0.1,SHORT,development_2019_2022,2019-02-14 00:00:00+00:00,2019-02-14 00:45:00+00:00,1.12645,1.12685,1.12585,1.12686,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-02-14,2019-02-14T0015,15,CPI,2019-02-13 13:30:00+00:00,10.75,0.0,-0.1,0.1,SHORT,development_2019_2022,2019-02-14 00:15:00+00:00,2019-02-14 00:35:00+00:00,1.1261299999999999,1.1265299999999998,1.12553,1.1265399999999999,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-02-14,2019-02-14T0030,30,CPI,2019-02-13 13:30:00+00:00,11.0,0.0,-0.1,0.1,SHORT,development_2019_2022,2019-02-14 00:30:00+00:00,2019-02-14 00:35:00+00:00,1.12618,1.12658,1.12558,1.12659,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-02-14,2019-02-14T0045,45,CPI,2019-02-13 13:30:00+00:00,11.25,0.0,-0.1,0.1,SHORT,development_2019_2022,2019-02-14 00:45:00+00:00,2019-02-14 02:00:00+00:00,1.12665,1.1270499999999999,1.12605,1.12706,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-03-11,2019-03-11T0000,0,NFP,2019-03-08 13:30:00+00:00,58.5,20000.0,304000.0,-284000.0,LONG,development_2019_2022,2019-03-11 00:00:00+00:00,2019-03-11 00:15:00+00:00,1.1232300000000002,1.1228300000000002,1.12383,1.1228200000000002,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-03-11,2019-03-11T0015,15,NFP,2019-03-08 13:30:00+00:00,58.75,20000.0,304000.0,-284000.0,LONG,development_2019_2022,2019-03-11 00:15:00+00:00,2019-03-11 00:25:00+00:00,1.12298,1.1225800000000001,1.12358,1.12257,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-03-11,2019-03-11T0030,30,NFP,2019-03-08 13:30:00+00:00,59.0,20000.0,304000.0,-284000.0,LONG,development_2019_2022,2019-03-11 00:30:00+00:00,2019-03-11 03:05:00+00:00,1.12266,1.12226,1.12326,1.1232499999999999,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-03-11,2019-03-11T0045,45,NFP,2019-03-08 13:30:00+00:00,59.25,20000.0,304000.0,-284000.0,LONG,development_2019_2022,2019-03-11 00:45:00+00:00,2019-03-11 02:35:00+00:00,1.12261,1.1222100000000002,1.12321,1.1232,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-04-12,2019-04-12T0000,0,PPI,2019-04-11 12:30:00+00:00,11.5,0.6,0.1,0.5,SHORT,development_2019_2022,2019-04-12 00:00:00+00:00,2019-04-12 00:30:00+00:00,1.12601,1.12641,1.12541,1.12642,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,NEUTRAL,2019-04-12,2019-04-12T0015,15,PPI,2019-04-11 12:30:00+00:00,11.75,0.6,0.1,0.5,SHORT,development_2019_2022,2019-04-12 00:15:00+00:00,2019-04-12 00:25:00+00:00,1.12582,1.12622,1.12522,1.12623,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
