prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
5,2019-03-11 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,195,2019-03-11 00:30:00+00:00,4,15.0
20,2019-07-08 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,532,2019-07-08 00:00:00+00:00,1,0.0
21,2019-07-08 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,533,2019-07-08 00:10:00+00:00,2,5.0
22,2019-07-08 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,535,2019-07-08 00:30:00+00:00,4,0.0
25,2019-08-14 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,640,2019-08-14 00:25:00+00:00,1,10.0
26,2019-08-14 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,641,2019-08-14 00:35:00+00:00,2,5.0
27,2019-08-14 00:45:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,642,2019-08-14 00:40:00+00:00,3,5.0
32,2019-08-16 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,648,2019-08-16 00:00:00+00:00,1,0.0
33,2019-08-16 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,650,2019-08-16 00:15:00+00:00,3,0.0
34,2019-08-16 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,651,2019-08-16 00:20:00+00:00,4,10.0
44,2019-09-13 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,728,2019-09-13 00:00:00+00:00,1,0.0
45,2019-09-13 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,729,2019-09-13 00:20:00+00:00,2,5.0
46,2019-09-13 00:30:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,730,2019-09-13 00:35:00+00:00,3,5.0
47,2019-09-13 00:45:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,731,2019-09-13 00:40:00+00:00,4,5.0
49,2019-10-09 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,800,2019-10-09 00:25:00+00:00,1,10.0
50,2019-10-09 00:30:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,801,2019-10-09 00:30:00+00:00,2,0.0
51,2019-10-09 00:45:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,803,2019-10-09 00:40:00+00:00,4,5.0
60,2020-01-13 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1072,2020-01-13 00:00:00+00:00,1,0.0
61,2020-01-13 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1075,2020-01-13 00:15:00+00:00,4,0.0
64,2020-01-15 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1080,2020-01-15 00:00:00+00:00,1,0.0
65,2020-01-15 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1083,2020-01-15 00:15:00+00:00,4,0.0
68,2020-01-16 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1084,2020-01-16 00:10:00+00:00,1,10.0
69,2020-01-16 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1085,2020-01-16 00:15:00+00:00,2,0.0
70,2020-01-16 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1087,2020-01-16 00:25:00+00:00,4,5.0
84,2020-04-13 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1332,2020-04-13 00:05:00+00:00,1,5.0
88,2020-05-11 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1412,2020-05-11 00:10:00+00:00,1,10.0
89,2020-05-11 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1413,2020-05-11 00:15:00+00:00,2,0.0
90,2020-05-11 00:30:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1415,2020-05-11 00:25:00+00:00,4,5.0
97,2020-07-03 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1568,2020-07-03 00:20:00+00:00,1,5.0
100,2020-07-15 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1602,2020-07-15 00:10:00+00:00,3,10.0
101,2020-07-15 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1603,2020-07-15 00:15:00+00:00,4,0.0
104,2020-08-10 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1672,2020-08-10 00:00:00+00:00,1,0.0
105,2020-08-10 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1675,2020-08-10 00:15:00+00:00,4,0.0
108,2020-08-14 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1688,2020-08-14 00:00:00+00:00,1,0.0
109,2020-08-14 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1690,2020-08-14 00:15:00+00:00,3,0.0
110,2020-08-14 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1691,2020-08-14 00:20:00+00:00,4,10.0
112,2020-09-11 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1768,2020-09-11 00:00:00+00:00,1,0.0
113,2020-09-11 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,1771,2020-09-11 00:15:00+00:00,4,0.0
120,2020-12-07 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2012,2020-12-07 00:00:00+00:00,1,0.0
121,2020-12-07 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2015,2020-12-07 00:15:00+00:00,4,0.0
140,2021-05-13 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2460,2021-05-13 00:00:00+00:00,1,0.0
144,2021-06-07 00:00:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2528,2021-06-07 00:10:00+00:00,1,10.0
145,2021-06-07 00:15:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2529,2021-06-07 00:15:00+00:00,2,0.0
146,2021-06-07 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2531,2021-06-07 00:25:00+00:00,4,5.0
148,2021-06-11 00:00:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2544,2021-06-11 00:00:00+00:00,1,0.0
149,2021-06-11 00:15:00+00:00,LONG,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2547,2021-06-11 00:15:00+00:00,4,0.0
154,2021-07-05 00:30:00+00:00,SHORT,N37_NEUTRAL_BLS_FIRST_HOUR_CARRY,2611,2021-07-05 00:45:00+00:00,4,15.0
