attempt_no,variant_id,regime_owner,mechanic,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2010_2014_trades,era_2010_2014_stress_net_r,era_2010_2014_stress_pf,era_2010_2014_average_stress_r,era_2010_2014_closed_drawdown_r,era_2014_2018_trades,era_2014_2018_stress_net_r,era_2014_2018_stress_pf,era_2014_2018_average_stress_r,era_2014_2018_closed_drawdown_r,era_2018_2022_trades,era_2018_2022_stress_net_r,era_2018_2022_stress_pf,era_2018_2022_average_stress_r,era_2018_2022_closed_drawdown_r,era_2022_2026_trades,era_2022_2026_stress_net_r,era_2022_2026_stress_pf,era_2022_2026_average_stress_r,era_2022_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
19031,4e49b2fcd217e0e8,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":6.0,""body_min"":0.4,""breakout_atr"":0.1,""hold_hours"":2,""hour_window"":""LONDON"",""source"":""ANY_TREND"",""stop_atr"":0.75,""target_r"":1.5,""transition_age_max"":8}",14,-8.942075330597781,0.29824046950064526,-0.6387196664712701,10.319302741629768,5,-5.9361856232757955,0.0,-1.1872371246551592,5.9361856232757955,1,1.1018525936072232,inf,1.1018525936072232,0.0,0,0.0,0.0,0.0,0.0,8,-4.107742300929209,0.39646860331738604,-0.5134677876161511,5.484969711961196,-10.568731663782147,1.0,0,0.0,-1.1872371246551592,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
19032,6ec65c54dfa734c3,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":8.0,""body_min"":0.2,""breakout_atr"":0.05,""hold_hours"":8,""hour_window"":""LONDON_NY"",""source"":""ANY_TREND"",""stop_atr"":1.0,""target_r"":2.0,""transition_age_max"":8}",304,-63.3614192426516,0.7260412022286546,-0.2084257211929329,78.87560290791664,61,-3.4145308095685625,0.9195653961860797,-0.05597591491096004,17.500453371845225,53,-17.5819984192737,0.6002578076161642,-0.33173581923157924,19.346360002451167,60,-14.1671980021735,0.6948690804513962,-0.23611996670289165,18.04269624710342,130,-28.197692011635837,0.7134863430279644,-0.21690532316642952,41.12908979996906,-74.71777166522318,1.0,53,0.6002578076161642,-0.33173581923157924,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
19033,85d8d88abe8bacb8,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":12.0,""body_min"":0.4,""breakout_atr"":0.2,""hold_hours"":2,""hour_window"":""LONDON_NY"",""source"":""COMPRESSION"",""stop_atr"":1.0,""target_r"":1.25,""transition_age_max"":16}",31,-4.002217634121258,0.7600137472171898,-0.12910379464907282,6.935267528223403,2,-0.13547782053349366,0.8824202649409708,-0.06773891026674683,1.152220835210073,1,0.7459129339425267,inf,0.7459129339425267,0.0,8,-0.8996391575802787,0.8037903440372981,-0.11245489469753484,3.5706707629636556,20,-3.7130135899500116,0.6605880895317537,-0.18565067949750058,5.309994294686895,-9.468985083132523,1.0,1,0.6605880895317537,-0.18565067949750058,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
19034,e7f56a6cb853f3ac,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":12.0,""body_min"":0.4,""breakout_atr"":0.2,""hold_hours"":3,""hour_window"":""LONDON_NY"",""source"":""COMPRESSION"",""stop_atr"":1.25,""target_r"":1.0,""transition_age_max"":48}",53,-11.25024494943951,0.6050297099282099,-0.21226877263093416,14.36768974839006,5,0.11455655067945159,1.0489023127164863,0.022911310135890317,2.3425589571519687,4,3.0028882482710997,inf,0.7507220620677749,0.0,19,-5.324604239522243,0.5139610204183132,-0.2802423283959075,7.461443641844137,25,-9.043085508867819,0.4045163574391877,-0.3617234203547127,9.491059494599762,-15.573658908648522,1.0,4,0.4045163574391877,-0.3617234203547127,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
19035,86cd92e6986b76e6,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":4.0,""body_min"":0.3,""breakout_atr"":0.0,""hold_hours"":12,""hour_window"":""LONDON_NY"",""source"":""COMPRESSION"",""stop_atr"":2.0,""target_r"":2.0,""transition_age_max"":8}",23,0.7953895956559824,1.0660282323881252,0.034582156332868805,3.4658076516108194,1,-1.1506268306899554,0.0,-1.1506268306899554,1.1506268306899554,3,-0.24811761563435153,0.8780722776280051,-0.08270587187811718,2.034956536605828,8,3.409426884581963,2.0393994421529578,0.4261783605727454,2.1730279395832506,11,-1.2152928426016736,0.7822224423555325,-0.11048116750924306,3.4658076516108194,-8.218714624191948,0.43784090550358556,1,0.0,-1.1506268306899554,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
19036,1f22674073f835f5,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":4.0,""body_min"":0.1,""breakout_atr"":0.05,""hold_hours"":3,""hour_window"":""NEW_YORK"",""source"":""COMPRESSION"",""stop_atr"":1.0,""target_r"":1.0,""transition_age_max"":8}",27,-4.576298269465208,0.6852462722037198,-0.1694925284987114,5.913137660571142,1,0.7667430146765659,inf,0.7667430146765659,0.0,2,-0.4939626396932272,0.5941006245210352,-0.2469813198466136,1.2169583634129688,7,-0.30159855142207803,0.9107978054209172,-0.043085507346011145,2.616646106074958,17,-4.547480093026469,0.5425656258487652,-0.267498829001557,4.86564095104956,-8.606451174718998,1.0,1,0.5425656258487652,-0.267498829001557,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
19037,743906768e80f872,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":8.0,""body_min"":0.4,""breakout_atr"":0.0,""hold_hours"":3,""hour_window"":""LONDON"",""source"":""ANY_TREND"",""stop_atr"":2.0,""target_r"":1.0,""transition_age_max"":32}",321,-72.03218133267997,0.5984802181758652,-0.22439931879339553,80.93361870120214,68,-27.54841594321063,0.41022386159353114,-0.40512376387074456,27.707420833295537,68,-32.46274828781388,0.31415770883966293,-0.47739335717373355,32.892497060998025,88,-1.1493987588798915,0.9693612815942475,-0.01306134953272604,9.202456185267689,97,-10.871618342775566,0.7727581792475886,-0.11207853961624295,20.54338271350857,-76.61971741253797,1.0,68,0.31415770883966293,-0.47739335717373355,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
19038,cc05819325b2ea7d,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":4.0,""body_min"":0.3,""breakout_atr"":0.0,""hold_hours"":3,""hour_window"":""LONDON_NY"",""source"":""ANY_TREND"",""stop_atr"":0.75,""target_r"":1.0,""transition_age_max"":16}",311,-84.03028593883721,0.5673594659597986,-0.2701938454624991,92.31473622812929,61,-6.331568155012387,0.8003532778659974,-0.10379619926249814,8.565329359282146,41,-10.232127732093007,0.5848625911660148,-0.2495640910266587,11.728970839176764,75,-22.21988297693208,0.5388198474171639,-0.2962651063590944,25.20540202637298,134,-45.246707074799744,0.49549109663345314,-0.3376619930955205,53.531157364091825,-88.54368684931757,1.0,41,0.49549109663345314,-0.3376619930955205,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
19039,eece5c105021b417,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":12.0,""body_min"":0.1,""breakout_atr"":0.3,""hold_hours"":4,""hour_window"":""POST_ASIA"",""source"":""ANY_TREND"",""stop_atr"":1.5,""target_r"":1.5,""transition_age_max"":8}",420,-79.48355920428148,0.699670895339142,-0.1892465695340035,85.6936278534453,95,-10.024178518487258,0.8187818510242262,-0.10551766861565534,16.823779212135193,108,-51.48913515383143,0.3756954501129989,-0.4767512514243651,52.78700520582919,85,-4.955801270830588,0.901636735422763,-0.0583035443627128,12.50895773051868,132,-13.014444261132173,0.8298371819533473,-0.09859427470554677,23.06138157280254,-88.46205407256176,1.0,85,0.3756954501129989,-0.4767512514243651,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
19040,94ad3c66cb72a81a,TRANSITION,TRANS_SESSION_EXPANSION_TARGET,"{""asia_range_atr_max"":12.0,""body_min"":0.4,""breakout_atr"":0.2,""hold_hours"":1,""hour_window"":""NEW_YORK"",""source"":""COMPRESSION"",""stop_atr"":1.0,""target_r"":1.5,""transition_age_max"":16}",38,-6.960460032584388,0.6249183381750543,-0.1831700008574839,9.696861329099413,1,-0.5436285329299322,0.0,-0.5436285329299322,0.5436285329299322,1,-0.24384537345146173,0.0,-0.24384537345146173,0.24384537345146173,10,-3.3461081084563147,0.4584838006425672,-0.3346108108456315,4.914726443841348,26,-2.8268780177466786,0.7561052425395731,-0.10872607760564149,6.059172917839202,-13.551800038428276,1.0,1,0.0,-0.5436285329299322,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
