report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2019-03-26,GOLD - COMMODITY EXCHANGE INC.,088691,509575,14704,84053,96748,178833,135373,77386,34623,79524,17573,64270,32774
2019-04-02,GOLD - COMMODITY EXCHANGE INC.,088691,440170,16339,74574,98592,158587,110816,86198,33534,82968,13030,50046,26372
2019-04-09,GOLD - COMMODITY EXCHANGE INC.,088691,447539,16242,75839,89285,162497,117917,80880,34457,81590,13263,54449,27004
2019-04-16,GOLD - COMMODITY EXCHANGE INC.,088691,440581,18586,61796,102113,137333,96196,111583,36047,87017,15357,53222,31065
2019-04-23,GOLD - COMMODITY EXCHANGE INC.,088691,440048,17090,53073,111538,132951,88989,122818,34838,87702,16478,49655,29654
2019-04-30,GOLD - COMMODITY EXCHANGE INC.,088691,430011,16898,67873,107267,144604,95159,95083,32233,82116,15973,49143,27050
2019-05-07,GOLD - COMMODITY EXCHANGE INC.,088691,450039,19282,67234,97242,145649,102975,93428,46752,82826,16962,49100,28152
2019-05-14,GOLD - COMMODITY EXCHANGE INC.,088691,517995,37635,102517,93005,165306,138467,85921,56826,87894,15904,53431,40784
2019-05-21,GOLD - COMMODITY EXCHANGE INC.,088691,508643,42131,104863,97934,143140,114986,99049,60257,88642,15774,53655,34522
2019-05-28,GOLD - COMMODITY EXCHANGE INC.,088691,505126,47857,110653,101915,149073,119314,93040,38764,75149,14735,57167,33901
2019-06-04,GOLD - COMMODITY EXCHANGE INC.,088691,481495,19523,106293,92611,178417,159663,63481,39505,80814,20881,51603,35142
2019-06-11,GOLD - COMMODITY EXCHANGE INC.,088691,496663,22226,114842,95607,205018,169640,40480,42491,80474,25396,48995,31206
2019-06-18,GOLD - COMMODITY EXCHANGE INC.,088691,525636,22520,124772,99745,221348,191766,41250,37522,82867,29060,52355,32823
2019-06-25,GOLD - COMMODITY EXCHANGE INC.,088691,577605,27515,155003,110102,242764,204918,27177,39972,93190,34377,59428,35832
2019-07-02,GOLD - COMMODITY EXCHANGE INC.,088691,605949,26439,169945,111301,254617,214186,20099,43480,98516,33657,61332,33456
2019-07-09,GOLD - COMMODITY EXCHANGE INC.,088691,598977,23099,172713,113865,242667,208301,25690,37261,97804,35652,66388,32735
2019-07-16,GOLD - COMMODITY EXCHANGE INC.,088691,601900,36109,173109,106552,246960,211322,31263,23036,98213,32771,68146,36239
2019-07-23,GOLD - COMMODITY EXCHANGE INC.,088691,616859,35072,175270,105569,253210,208153,29980,28184,103728,30651,72995,36406
2019-07-30,GOLD - COMMODITY EXCHANGE INC.,088691,563298,16484,151075,103601,256977,215581,29868,18638,96633,27958,64221,30642
2019-08-06,GOLD - COMMODITY EXCHANGE INC.,088691,600317,21577,160907,97634,282629,248687,21854,20134,101871,36159,62844,31064
2019-08-13,GOLD - COMMODITY EXCHANGE INC.,088691,593962,20942,159798,96263,281134,245631,22020,22169,100592,34113,63458,29821
2019-08-20,GOLD - COMMODITY EXCHANGE INC.,088691,594807,21303,166620,94900,285833,249696,19850,20533,102598,32451,63855,27598
2019-08-27,GOLD - COMMODITY EXCHANGE INC.,088691,636183,28589,172923,95266,284738,258269,31553,25567,104340,34218,70411,33443
2019-09-03,GOLD - COMMODITY EXCHANGE INC.,088691,634358,23849,178506,97751,280835,265175,33549,24450,100210,31289,65648,28454
2019-09-10,GOLD - COMMODITY EXCHANGE INC.,088691,614753,23199,177027,109076,260859,239475,33294,26504,94639,31095,63541,27655
2019-09-17,GOLD - COMMODITY EXCHANGE INC.,088691,630990,21281,180842,108242,267080,241936,28080,26607,99575,30832,61089,25289
2019-09-24,GOLD - COMMODITY EXCHANGE INC.,088691,658944,20674,185082,109466,290203,265508,27637,24592,104885,30312,63477,30776
2019-10-01,GOLD - COMMODITY EXCHANGE INC.,088691,604885,23159,173858,109866,262855,219990,29179,27343,102810,24628,60536,25841
2019-10-08,GOLD - COMMODITY EXCHANGE INC.,088691,616957,22269,176511,112484,269184,231976,31475,24922,102407,27345,61518,26139
