raw_signed_spread,unsigned_32_diagnostic,interpretation
-479207,4294488089,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-477745,4294489551,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-477636,4294489660,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-476545,4294490751,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-409593,4294557703,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-409355,4294557941,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-408723,4294558573,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-408569,4294558727,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-408405,4294558891,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-408196,4294559100,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-408064,4294559232,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-407892,4294559404,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-407600,4294559696,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-407565,4294559731,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-406661,4294560635,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-382990,4294584306,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-382697,4294584599,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-339654,4294627642,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-339404,4294627892,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-339265,4294628031,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-339113,4294628183,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-339031,4294628265,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338975,4294628321,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338835,4294628461,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338829,4294628467,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338586,4294628710,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338527,4294628769,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338468,4294628828,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338299,4294628997,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-338214,4294629082,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
-337813,4294629483,DIAGNOSTIC_ONLY_RAW_VALUE_UNCHANGED
