candidate_id,family,regime,direction,threshold,stop_atr,target_r,max_hold_bars,lookback,body_min,session,trades,trades_per_active_day,wins,win_rate,net_r,average_r,net_pips,profit_factor,maximum_drawdown_r,positive_active_month_share,top_5pct_removed_profit_factor,stage,parameter_sha256,gate_pass
EURF2_2001,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.6,16,4,0.0,all,144,0.07708779443254818,77,0.5347222222222222,-18.412548110994937,-0.12786491743746484,-84.94564312063522,0.700521465951595,25.859702793204274,0.3695652173913043,0.6230928380062457,development,2e22d0fab89bd64c6eea3f48a0092b1fba2bbc5415393f56f939c9e08a780ba6,False
EURF2_2002,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.6,32,4,0.0,all,144,0.07708779443254818,78,0.5416666666666666,-20.487534494721725,-0.1422745451022342,-69.82564312063343,0.6902822502002911,28.52922469605674,0.43478260869565216,0.618206700923824,development,8f2554ccb73d147695dcf72125c7aefa43ddd05d762312114a7b62482b2e4be2,False
EURF2_2003,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.9,16,4,0.0,all,144,0.07708779443254818,70,0.4861111111111111,-11.061518294808971,-0.07681609926950675,2.4617918458358474,0.8352638212386465,21.140891971859666,0.41304347826086957,0.7286290977499885,development,a6ed089d870f5430d9bc9656e6c873a39e65fc8e4ce02491a74836b3b0ed22fb,False
EURF2_2004,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.9,32,4,0.0,all,144,0.07708779443254818,72,0.5,-9.11610592329379,-0.06330629113398466,70.97179184585079,0.8738295365747945,21.46617404544873,0.43478260869565216,0.7746503030446453,development,6ffe5d907a47517d47636a6979bf3fc42a44fe7cb574ecd4e9c52f96cb0c5ba1,False
EURF2_2005,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.6,16,4,0.0,all,144,0.07708779443254818,78,0.5416666666666666,-15.35513606861888,-0.10663288936540888,-74.01769273947423,0.7403873269793644,21.24956537659165,0.3695652173913043,0.6599010240146859,development,947330ccb91fc2dc48b3eb41c052efd21f27dc1d231428a8ed79159d4ab18a39,False
EURF2_2006,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.6,32,4,0.0,all,144,0.07708779443254818,81,0.5625,-15.446643092158357,-0.10726835480665525,-45.55558362563826,0.7547770687227866,21.935607919256793,0.45652173913043476,0.6790870642669862,development,d60fd11d7c66efec71b07961c23f174b36dcb1d36969276e397e0bc51aeb0821,False
EURF2_2007,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.9,16,4,0.0,all,144,0.07708779443254818,73,0.5069444444444444,-4.630761064645942,-0.03215806294893015,29.11646270233659,0.9270373608194351,15.777315147913692,0.41304347826086957,0.814220876193968,development,affc26da4fc5243858623aed7ed811444b8bbfe305e6a1b7d3ef3d0cf27e51c5,False
EURF2_2008,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.9,32,4,0.0,all,144,0.07708779443254818,76,0.5277777777777778,-1.2752145207289836,-0.008855656393951274,110.1609872666587,0.9812615893666145,15.022340039512587,0.45652173913043476,0.8759631548050683,development,0ca4bed9aeb77324a3c21ff0c100749360cc3babd3ec80daf7a66250a25acffc,False
EURF2_2009,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.6,16,4,0.25,all,101,0.05406852248394004,57,0.5643564356435643,-7.542584685913023,-0.07467905629616854,-39.38960437129157,0.8083839127560043,14.457531888926335,0.4146341463414634,0.7177181203997923,development,1c1ae4c0d126f4134426cd2199ac4cbf4d65b8dcb2714152198735c57c75d4a6,False
EURF2_2010,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.6,32,4,0.25,all,101,0.05406852248394004,57,0.5643564356435643,-10.292765228850463,-0.10190856662228182,-40.7496043712907,0.7646484330518908,17.429689720012817,0.4634146341463415,0.6829121952615806,development,c9220e86f46d96d13bc6bcfbcfab3f5fb50ff39a0fcb6a84b1e3f8d8d8fce009,False
EURF2_2011,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.9,16,4,0.25,all,101,0.05406852248394004,52,0.5148514851485149,-2.0915548697271227,-0.020708464056704186,20.616166832065904,0.9513393444386317,13.971879096032765,0.3902439024390244,0.8264622597240228,development,09f8581450f85733056ee0ed1a82dc9bcf3fe7f68d9ddf5c68adc3d15a796218,False
EURF2_2012,scheduled_momentum,trend_up,dynamic,0.0,0.75,0.9,32,4,0.25,all,101,0.05406852248394004,53,0.5247524752475248,-0.7927652288511561,-0.007849160681694615,73.42616683208014,0.9834119851360567,14.101263293571312,0.4146341463414634,0.8709521582942245,development,0f1777131e4d614f10724fbc537790c6ebe75c734c4aed9f73813a263675ea4a,False
EURF2_2013,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.6,16,4,0.25,all,101,0.05406852248394004,55,0.5445544554455446,-9.781105812712848,-0.0968426318090381,-49.802605778699345,0.7584640472906672,15.141354996007228,0.3902439024390244,0.6703336929570962,development,c7f2b1cb6604dd8cfb415a1284f45b10f6de9fdabb0845c48be53472fc94afc9,False
EURF2_2014,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.6,32,4,0.25,all,101,0.05406852248394004,56,0.5544554455445545,-11.819803461073159,-0.1170277570403283,-48.609809146438195,0.7357324928247329,17.39253385969673,0.43902439024390244,0.6558110842558075,development,3c9bfa9a2744b8efd481336f511b0e2054251b2105b73f437eb68fa72da48511,False
EURF2_2015,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.9,16,4,0.25,all,101,0.05406852248394004,52,0.5148514851485149,-2.008863875313085,-0.019889741339733515,24.483212913768423,0.953221077135498,13.93449008190076,0.3902439024390244,0.8282315092242316,development,321d0e3828b69ee93feba4d4aae0f43602586ddc86e624b2e9ba468aa4977cc0,False
EURF2_2016,scheduled_momentum,trend_up,dynamic,0.0,1.25,0.9,32,4,0.25,all,101,0.05406852248394004,53,0.5247524752475248,-0.7198034610720595,-0.0071267669413075194,77.55240786217142,0.9849302927427535,14.073603506074242,0.4146341463414634,0.8724080257394979,development,033697a3a4aedc0fca51b12f805e8c4990637b9be66047f909a9beb88bfea2e2,False
