expert,admitted,trades,wins,win_rate,realized_payoff_ratio,profit_factor,stress_profit_factor,net_r,stress_net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor,extra_0p5pip_profit_factor,latest_12_month_profit_factor
TREND_DOWN_SHORT,False,194,79,0.4072164948453608,1.2446567281940963,0.862525276555558,0.8195128913538597,-14.689422921433497,-19.839619810450777,-27.64753538838216,23.857897777332642,0.4936708860759494,0.7458129832965031,0.8195128913538597,2.5788102269506186
TREND_UP_LONG,False,166,65,0.39156626506024095,1.1888738549377371,0.7651168373361674,0.7281191876607654,-22.208981794507345,-26.42622640604273,-35.56447842948086,35.08856432322612,0.3918918918918919,0.6464105941573158,0.7281191876607654,0.7441248087619317
TRANSITION_TWO_SIDED,False,208,94,0.4519230769230769,1.1120535607050301,0.9169564447918669,0.8752753633484547,-9.28334046426263,-14.287893564248296,-20.49903752843329,22.76887481429298,0.5294117647058824,0.794257033845924,0.8752753633484547,0.8966765687408165
