variant_id,action_mode,basis_lookback_bars,basis_z_threshold,widening_bars,minimum_return_gap_atr,stop_atr,target_r,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V66_d08e820e682dc219,CATCHUP,72,1.5,3,0.25,0.5,1.0,610,2,2,False,1,0.0038314176245210726,0.7690768544536044,inf,0.7690768544536044,0.0,0.0,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.1232971889535273,0.0,-1.1232971889535273,1.1232971889535273,0.0,0.0,0.0,0.0
V66_d0fce2280e45a21b,FADE,24,2.5,3,0.25,0.75,2.0,422,22,19,False,7,0.02681992337164751,-8.360341346509628,0.0,-1.194334478072804,8.360341346509628,-2.4692592163620697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.04597701149425287,-7.771853108873979,0.3230292530961676,-0.6476544257394983,9.22374180258015,-8.083118504440728,0.16666666666666666,0.0,0.0
V66_d393f0772bcf0bcb,FADE,24,1.5,1,0.25,0.75,1.5,410,21,17,False,6,0.022988505747126436,-7.211518577041494,0.0,-1.201919762840249,7.211518577041494,-1.2445081045228743,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0421455938697318,-7.685842301339697,0.2585602392354105,-0.698712936485427,9.045356668485693,-6.987743207730612,0.08333333333333333,0.0,0.0
V66_d581bf8f97d5b993,FADE,72,2.0,1,0.25,0.75,2.0,304,14,12,False,7,0.02681992337164751,-8.400324058861127,0.0,-1.200046294123018,8.400324058861127,-2.4692592163620697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.019157088122605363,0.26172006819171245,1.0758553087414005,0.05234401363834249,2.309630514470406,0.0,0.08333333333333333,0.0,0.0
V66_d6a5f011db0e6992,CATCHUP,24,2.5,3,0.25,0.5,2.0,422,2,2,False,1,0.0038314176245210726,1.7690768544535944,inf,1.7690768544535944,0.0,0.0,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.2355004856981202,0.0,-1.2355004856981202,1.2355004856981202,0.0,0.0,0.0,0.0
V66_d72bf0b87eee5360,FADE,24,2.0,3,0.25,0.5,1.5,550,2,2,False,1,0.0038314176245210726,-1.2309231455463758,0.0,-1.2309231455463758,1.2309231455463758,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.2355004856981202,0.0,-1.2355004856981202,1.2355004856981202,0.0,0.0,0.0,0.0
V66_d986c726fb349a90,CATCHUP,72,2.5,1,0.25,0.5,1.5,252,1,1,False,1,0.0038314176245210726,-1.2486769146168604,0.0,-1.2486769146168604,1.2486769146168604,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V66_dbc2770fa5b154bb,FADE,24,2.5,3,0.25,0.75,1.0,422,22,19,False,7,0.02681992337164751,-8.360341346509628,0.0,-1.194334478072804,8.360341346509628,-2.4692592163620697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.04597701149425287,-5.768296642758505,0.37042143789699794,-0.4806913868965421,7.48823486310459,-8.046952479449462,0.16666666666666666,0.0,0.0
V66_dcd2cad2ee94fb3a,CATCHUP,24,2.0,1,0.25,0.75,1.5,325,18,15,False,5,0.019157088122605363,1.4687214122388685,1.6184455908254984,0.29374428244777373,2.3748595414487896,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.038314176245210725,3.4869512748357026,1.756712589397169,0.34869512748357023,2.319510956963958,-3.297379183813159,0.4166666666666667,0.0,0.0
V66_dda2827c998987ea,FADE,24,2.0,1,0.25,0.5,1.0,325,4,4,False,1,0.0038314176245210726,-1.2486769146168604,0.0,-1.2486769146168604,1.2486769146168604,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.011494252873563218,-3.5906982808928305,0.0,-1.1968994269642768,3.5906982808928305,0.0,0.0,0.0,0.0
