timeframe,timestamp,changed_fields,run1_open,run1_high,run1_low,run1_close,run1_tick_volume,run1_spread,run1_real_volume,run2_open,run2_high,run2_low,run2_close,run2_tick_volume,run2_spread,run2_real_volume
H1,2026-04-14T02:00:00,spread,4764.54,4777.0799999999999,4761.9799999999996,4774.79,14247,50,0,4764.54,4777.0799999999999,4761.9799999999996,4774.79,14247,-477636,0
H1,2026-04-14T05:00:00,spread,4774.0200000000004,4774.0500000000002,4757.79,4759.9099999999999,14436,50,0,4774.0200000000004,4774.0500000000002,4757.79,4759.9099999999999,14436,-476545,0
H1,2026-04-14T06:00:00,spread,4759.9300000000003,4782.8699999999999,4759.9200000000001,4782.0600000000004,16164,50,0,4759.9300000000003,4782.8699999999999,4759.9200000000001,4782.0600000000004,16164,-477745,0
H1,2026-04-14T07:00:00,spread,4782.0299999999997,4796.3500000000004,4767.5699999999997,4776.3199999999997,18887,50,0,4782.0299999999997,4796.3500000000004,4767.5699999999997,4776.3199999999997,18887,-479207,0
H4,2026-04-14T00:00:00,spread,4757.6599999999999,4777.0799999999999,4751.46,4767.9899999999998,63467,50,0,4757.6599999999999,4777.0799999999999,4751.46,4767.9899999999998,63467,-477636,0
H4,2026-04-14T04:00:00,spread,4768,4796.3500000000004,4757.79,4776.3199999999997,56983,50,0,4768,4796.3500000000004,4757.79,4776.3199999999997,56983,-479207,0
D1,2026-04-14T00:00:00,spread,4757.6599999999999,4850.7799999999997,4751.46,4834.9899999999998,372815,50,0,4757.6599999999999,4850.7799999999997,4751.46,4834.9899999999998,372815,-479207,0
