timeframe,prior_bar_time,next_bar_time,duration_seconds,prior_weekday,prior_hour,next_weekday,next_hour,occurrence_count,present_in_run1,present_in_run2
H1,2015-06-01T20:00:00,2015-06-01T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-06-02T20:00:00,2015-06-02T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-06-03T20:00:00,2015-06-03T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-06-04T20:00:00,2015-06-04T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-06-05T20:00:00,2015-06-07T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-06-08T20:00:00,2015-06-08T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-06-09T20:00:00,2015-06-09T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-06-10T20:00:00,2015-06-10T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-06-11T20:00:00,2015-06-11T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-06-12T20:00:00,2015-06-14T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-06-15T20:00:00,2015-06-15T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-06-16T20:00:00,2015-06-16T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-06-17T20:00:00,2015-06-17T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-06-18T20:00:00,2015-06-18T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-06-19T20:00:00,2015-06-21T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-06-22T20:00:00,2015-06-22T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-06-23T20:00:00,2015-06-23T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-06-24T20:00:00,2015-06-24T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-06-25T20:00:00,2015-06-25T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-06-26T20:00:00,2015-06-28T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-06-29T20:00:00,2015-06-29T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-06-30T20:00:00,2015-06-30T23:00:00,10800,1,20,1,23,12,true,true
H1,2015-07-01T20:00:00,2015-07-01T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-07-02T20:00:00,2015-07-02T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-07-03T16:00:00,2015-07-05T22:00:00,194400,4,16,6,22,10,true,true
H1,2015-07-06T20:00:00,2015-07-06T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-07-07T20:00:00,2015-07-07T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-07-08T20:00:00,2015-07-08T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-07-09T20:00:00,2015-07-09T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-07-10T20:00:00,2015-07-12T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-07-13T20:00:00,2015-07-13T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-07-14T20:00:00,2015-07-14T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-07-15T20:00:00,2015-07-15T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-07-16T20:00:00,2015-07-16T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-07-17T20:00:00,2015-07-19T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-07-20T20:00:00,2015-07-20T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-07-21T20:00:00,2015-07-21T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-07-22T20:00:00,2015-07-22T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-07-23T20:00:00,2015-07-23T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-07-24T20:00:00,2015-07-26T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-07-27T20:00:00,2015-07-27T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-07-28T20:00:00,2015-07-28T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-07-29T20:00:00,2015-07-29T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-07-30T20:00:00,2015-07-30T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-07-31T20:00:00,2015-08-02T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-08-03T20:00:00,2015-08-03T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-08-04T20:00:00,2015-08-04T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-08-05T20:00:00,2015-08-05T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-08-06T20:00:00,2015-08-06T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-08-07T20:00:00,2015-08-09T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-08-10T20:00:00,2015-08-10T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-08-11T20:00:00,2015-08-11T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-08-12T20:00:00,2015-08-12T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-08-13T20:00:00,2015-08-13T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-08-14T20:00:00,2015-08-16T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-08-17T20:00:00,2015-08-17T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-08-18T20:00:00,2015-08-18T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-08-19T20:00:00,2015-08-19T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-08-20T20:00:00,2015-08-20T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-08-21T20:00:00,2015-08-23T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-08-24T20:00:00,2015-08-24T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-08-25T20:00:00,2015-08-25T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-08-26T20:00:00,2015-08-26T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-08-27T20:00:00,2015-08-27T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-08-28T20:00:00,2015-08-30T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-08-31T20:00:00,2015-08-31T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-09-01T20:00:00,2015-09-01T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-09-02T20:00:00,2015-09-02T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-09-03T20:00:00,2015-09-03T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-09-04T20:00:00,2015-09-06T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-09-07T15:00:00,2015-09-07T22:00:00,25200,0,15,0,22,2,true,true
H1,2015-09-08T20:00:00,2015-09-08T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-09-09T20:00:00,2015-09-09T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-09-10T20:00:00,2015-09-10T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-09-11T20:00:00,2015-09-13T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-09-14T20:00:00,2015-09-14T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-09-15T20:00:00,2015-09-15T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-09-16T20:00:00,2015-09-16T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-09-17T20:00:00,2015-09-17T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-09-18T20:00:00,2015-09-20T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-09-21T20:00:00,2015-09-21T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-09-22T20:00:00,2015-09-22T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-09-23T20:00:00,2015-09-23T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-09-24T20:00:00,2015-09-24T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-09-25T20:00:00,2015-09-27T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-09-28T20:00:00,2015-09-28T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-09-29T20:00:00,2015-09-29T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-09-30T20:00:00,2015-09-30T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-10-01T20:00:00,2015-10-01T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-10-02T20:00:00,2015-10-04T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-10-05T20:00:00,2015-10-05T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-10-06T20:00:00,2015-10-06T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-10-07T20:00:00,2015-10-07T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-10-08T20:00:00,2015-10-08T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-10-09T20:00:00,2015-10-11T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-10-12T20:00:00,2015-10-12T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-10-13T20:00:00,2015-10-13T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-10-14T20:00:00,2015-10-14T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-10-15T20:00:00,2015-10-15T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-10-16T20:00:00,2015-10-18T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-10-19T20:00:00,2015-10-19T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-10-20T20:00:00,2015-10-20T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-10-21T20:00:00,2015-10-21T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-10-22T20:00:00,2015-10-22T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-10-23T20:00:00,2015-10-25T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-10-26T19:00:00,2015-10-26T22:00:00,10800,0,19,0,22,34,true,true
H1,2015-10-27T19:00:00,2015-10-27T22:00:00,10800,1,19,1,22,34,true,true
H1,2015-10-28T19:00:00,2015-10-28T22:00:00,10800,2,19,2,22,34,true,true
H1,2015-10-29T19:00:00,2015-10-29T22:00:00,10800,3,19,3,22,32,true,true
H1,2015-10-30T19:00:00,2015-11-01T22:00:00,183600,4,19,6,22,50,true,true
H1,2015-11-02T20:00:00,2015-11-02T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-11-03T20:00:00,2015-11-03T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-11-04T20:00:00,2015-11-04T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-11-05T20:00:00,2015-11-05T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-11-06T20:00:00,2015-11-08T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-11-09T20:00:00,2015-11-09T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-11-10T20:00:00,2015-11-10T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-11-11T20:00:00,2015-11-11T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-11-12T20:00:00,2015-11-12T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-11-13T20:00:00,2015-11-15T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-11-16T20:00:00,2015-11-16T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-11-17T20:00:00,2015-11-17T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-11-18T20:00:00,2015-11-18T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-11-19T20:00:00,2015-11-19T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-11-20T20:00:00,2015-11-22T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-11-23T20:00:00,2015-11-23T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-11-24T20:00:00,2015-11-24T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-11-25T20:00:00,2015-11-25T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-11-26T16:00:00,2015-11-26T22:00:00,21600,3,16,3,22,16,true,true
H1,2015-11-27T16:00:00,2015-11-29T22:00:00,194400,4,16,6,22,10,true,true
H1,2015-11-30T20:00:00,2015-11-30T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-12-01T20:00:00,2015-12-01T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-12-02T20:00:00,2015-12-02T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-12-03T20:00:00,2015-12-03T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-12-04T20:00:00,2015-12-06T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-12-07T20:00:00,2015-12-07T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-12-08T20:00:00,2015-12-08T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-12-09T20:00:00,2015-12-09T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-12-10T20:00:00,2015-12-10T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-12-11T20:00:00,2015-12-13T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-12-14T20:00:00,2015-12-14T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-12-15T20:00:00,2015-12-15T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-12-16T20:00:00,2015-12-16T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-12-17T20:00:00,2015-12-17T22:00:00,7200,3,20,3,22,998,true,true
H1,2015-12-18T20:00:00,2015-12-20T22:00:00,180000,4,20,6,22,954,true,true
H1,2015-12-21T20:00:00,2015-12-21T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-12-22T20:00:00,2015-12-22T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-12-23T20:00:00,2015-12-23T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-12-24T15:00:00,2015-12-27T22:00:00,284400,3,15,6,22,4,true,true
H1,2015-12-28T20:00:00,2015-12-28T22:00:00,7200,0,20,0,22,940,true,true
H1,2015-12-29T20:00:00,2015-12-29T22:00:00,7200,1,20,1,22,1036,true,true
H1,2015-12-30T20:00:00,2015-12-30T22:00:00,7200,2,20,2,22,1040,true,true
H1,2015-12-31T15:00:00,2016-01-03T22:00:00,284400,3,15,6,22,4,true,true
H1,2016-01-04T20:00:00,2016-01-04T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-01-05T20:00:00,2016-01-05T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-01-06T20:00:00,2016-01-06T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-01-07T20:00:00,2016-01-07T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-01-08T20:00:00,2016-01-10T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-01-11T20:00:00,2016-01-11T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-01-12T20:00:00,2016-01-12T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-01-13T20:00:00,2016-01-13T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-01-14T20:00:00,2016-01-14T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-01-15T20:00:00,2016-01-17T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-01-18T16:00:00,2016-01-18T22:00:00,21600,0,16,0,22,50,true,true
H1,2016-01-19T20:00:00,2016-01-19T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-01-20T20:00:00,2016-01-20T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-01-21T20:00:00,2016-01-21T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-01-22T20:00:00,2016-01-24T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-01-25T20:00:00,2016-01-25T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-01-26T20:00:00,2016-01-26T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-01-27T20:00:00,2016-01-27T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-01-28T20:00:00,2016-01-28T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-01-29T20:00:00,2016-01-31T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-02-01T20:00:00,2016-02-01T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-02-02T20:00:00,2016-02-02T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-02-03T20:00:00,2016-02-03T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-02-04T20:00:00,2016-02-04T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-02-05T20:00:00,2016-02-07T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-02-08T20:00:00,2016-02-08T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-02-09T20:00:00,2016-02-09T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-02-10T20:00:00,2016-02-10T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-02-11T20:00:00,2016-02-11T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-02-12T20:00:00,2016-02-14T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-02-15T16:00:00,2016-02-15T22:00:00,21600,0,16,0,22,50,true,true
H1,2016-02-16T20:00:00,2016-02-16T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-02-17T20:00:00,2016-02-17T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-02-18T20:00:00,2016-02-18T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-02-19T20:00:00,2016-02-21T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-02-22T20:00:00,2016-02-22T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-02-23T20:00:00,2016-02-23T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-02-24T20:00:00,2016-02-24T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-02-25T20:00:00,2016-02-25T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-02-26T20:00:00,2016-02-28T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-02-29T20:00:00,2016-02-29T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-03-01T20:00:00,2016-03-01T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-03-02T20:00:00,2016-03-02T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-03-03T20:00:00,2016-03-03T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-03-04T20:00:00,2016-03-06T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-03-07T20:00:00,2016-03-07T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-03-08T20:00:00,2016-03-08T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-03-09T20:00:00,2016-03-09T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-03-10T20:00:00,2016-03-10T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-03-11T20:00:00,2016-03-13T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-03-14T19:00:00,2016-03-14T22:00:00,10800,0,19,0,22,34,true,true
H1,2016-03-15T19:00:00,2016-03-15T22:00:00,10800,1,19,1,22,34,true,true
H1,2016-03-16T19:00:00,2016-03-16T22:00:00,10800,2,19,2,22,34,true,true
H1,2016-03-17T19:00:00,2016-03-17T22:00:00,10800,3,19,3,22,32,true,true
H1,2016-03-18T19:00:00,2016-03-20T22:00:00,183600,4,19,6,22,50,true,true
H1,2016-03-21T19:00:00,2016-03-21T22:00:00,10800,0,19,0,22,34,true,true
H1,2016-03-22T19:00:00,2016-03-22T22:00:00,10800,1,19,1,22,34,true,true
H1,2016-03-23T19:00:00,2016-03-23T22:00:00,10800,2,19,2,22,34,true,true
H1,2016-03-24T19:00:00,2016-03-27T22:00:00,270000,3,19,6,22,4,true,true
H1,2016-03-28T20:00:00,2016-03-28T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-03-29T20:00:00,2016-03-29T22:00:00,7200,1,20,1,22,1036,true,true
