policy_id,lookback_ms,minimum_nonzero_mid_updates,minimum_absolute_update_imbalance,minimum_absolute_displacement_bps,maximum_spread_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
LB01000__UC05__IM80__DP500__SP500,1000,5,0.8,5.0,5.0,22,9,0.4090909090909091,9,0.4090909090909091,3,6,0.3333333333333333,False
LB01000__UC05__IM80__DP750__SP300,1000,5,0.8,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC05__IM80__DP750__SP500,1000,5,0.8,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC05__IM90__DP100__SP300,1000,5,0.9,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM90__DP100__SP500,1000,5,0.9,1.0,5.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM90__DP200__SP300,1000,5,0.9,2.0,3.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM90__DP200__SP500,1000,5,0.9,2.0,5.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM90__DP300__SP300,1000,5,0.9,3.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,False
LB01000__UC05__IM90__DP300__SP500,1000,5,0.9,3.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,False
LB01000__UC05__IM90__DP500__SP300,1000,5,0.9,5.0,3.0,22,7,0.3181818181818182,7,0.3181818181818182,1,6,0.14285714285714285,False
LB01000__UC05__IM90__DP500__SP500,1000,5,0.9,5.0,5.0,22,8,0.36363636363636365,8,0.36363636363636365,2,6,0.25,False
LB01000__UC05__IM90__DP750__SP300,1000,5,0.9,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC05__IM90__DP750__SP500,1000,5,0.9,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM50__DP100__SP300,1000,10,0.5,1.0,3.0,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
LB01000__UC10__IM50__DP100__SP500,1000,10,0.5,1.0,5.0,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
LB01000__UC10__IM50__DP200__SP300,1000,10,0.5,2.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM50__DP200__SP500,1000,10,0.5,2.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM50__DP300__SP300,1000,10,0.5,3.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,7,11,0.3888888888888889,False
LB01000__UC10__IM50__DP300__SP500,1000,10,0.5,3.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,7,11,0.3888888888888889,False
LB01000__UC10__IM50__DP500__SP300,1000,10,0.5,5.0,3.0,22,10,0.45454545454545453,10,0.45454545454545453,2,8,0.2,False
LB01000__UC10__IM50__DP500__SP500,1000,10,0.5,5.0,5.0,22,10,0.45454545454545453,10,0.45454545454545453,2,8,0.2,False
LB01000__UC10__IM50__DP750__SP300,1000,10,0.5,7.5,3.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC10__IM50__DP750__SP500,1000,10,0.5,7.5,5.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC10__IM60__DP100__SP300,1000,10,0.6,1.0,3.0,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
LB01000__UC10__IM60__DP100__SP500,1000,10,0.6,1.0,5.0,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
LB01000__UC10__IM60__DP200__SP300,1000,10,0.6,2.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM60__DP200__SP500,1000,10,0.6,2.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM60__DP300__SP300,1000,10,0.6,3.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC10__IM60__DP300__SP500,1000,10,0.6,3.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC10__IM60__DP500__SP300,1000,10,0.6,5.0,3.0,22,10,0.45454545454545453,10,0.45454545454545453,2,8,0.2,False
LB01000__UC10__IM60__DP500__SP500,1000,10,0.6,5.0,5.0,22,10,0.45454545454545453,10,0.45454545454545453,2,8,0.2,False
LB01000__UC10__IM60__DP750__SP300,1000,10,0.6,7.5,3.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC10__IM60__DP750__SP500,1000,10,0.6,7.5,5.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC10__IM70__DP100__SP300,1000,10,0.7,1.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM70__DP100__SP500,1000,10,0.7,1.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM70__DP200__SP300,1000,10,0.7,2.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,5,13,0.2777777777777778,False
LB01000__UC10__IM70__DP200__SP500,1000,10,0.7,2.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,5,13,0.2777777777777778,False
LB01000__UC10__IM70__DP300__SP300,1000,10,0.7,3.0,3.0,22,14,0.6363636363636364,14,0.6363636363636364,2,12,0.14285714285714285,False
LB01000__UC10__IM70__DP300__SP500,1000,10,0.7,3.0,5.0,22,14,0.6363636363636364,14,0.6363636363636364,2,12,0.14285714285714285,False
LB01000__UC10__IM70__DP500__SP300,1000,10,0.7,5.0,3.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
LB01000__UC10__IM70__DP500__SP500,1000,10,0.7,5.0,5.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
LB01000__UC10__IM70__DP750__SP300,1000,10,0.7,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM70__DP750__SP500,1000,10,0.7,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM80__DP100__SP300,1000,10,0.8,1.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM80__DP100__SP500,1000,10,0.8,1.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC10__IM80__DP200__SP300,1000,10,0.8,2.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,5,13,0.2777777777777778,False
LB01000__UC10__IM80__DP200__SP500,1000,10,0.8,2.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,5,13,0.2777777777777778,False
LB01000__UC10__IM80__DP300__SP300,1000,10,0.8,3.0,3.0,22,14,0.6363636363636364,14,0.6363636363636364,2,12,0.14285714285714285,False
LB01000__UC10__IM80__DP300__SP500,1000,10,0.8,3.0,5.0,22,14,0.6363636363636364,14,0.6363636363636364,2,12,0.14285714285714285,False
LB01000__UC10__IM80__DP500__SP300,1000,10,0.8,5.0,3.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
LB01000__UC10__IM80__DP500__SP500,1000,10,0.8,5.0,5.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
LB01000__UC10__IM80__DP750__SP300,1000,10,0.8,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM80__DP750__SP500,1000,10,0.8,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
