trade_id,source_id,entry_time_utc,exit_time_utc,pnl_usd
V9_BREAK_20210104T162000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-04T16:20:00Z,2021-01-05T09:50:00.000Z,-7.481380494309517
V7_20210105T115000Z_SHORT,V7_SWING_HEALTH,2021-01-05T11:50:00Z,2021-01-05T13:55:00.000Z,-4.005381944444444
V7_20210106T002000Z_SHORT,V7_SWING_HEALTH,2021-01-06T00:20:00Z,2021-01-06T01:05:00.000Z,-3.9859375
V9_BREAK_20210106T000500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-06T00:05:00Z,2021-01-06T01:25:00.000Z,-3.9944444444444445
V9_BREAK_20210107T012500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-07T01:25:00Z,2021-01-07T06:35:00.000Z,-4.497009586411553
V7_20210107T073000Z_SHORT,V7_SWING_HEALTH,2021-01-07T07:30:00Z,2021-01-07T08:10:00.000Z,6.5152777777777775
V7_20210108T003000Z_SHORT,V7_SWING_HEALTH,2021-01-08T00:30:00Z,2021-01-08T03:30:00.000Z,6.481249999999999
V7_20210108T062000Z_LONG,V7_SWING_HEALTH,2021-01-08T06:20:00Z,2021-01-08T08:00:00.000Z,-3.9993055555555554
V9_BREAK_20210111T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11T00:15:00Z,2021-01-11T01:15:00.000Z,11.572478978302675
V9_BREAK_20210111T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11T01:35:00Z,2021-01-11T06:25:00.000Z,19.120093964346545
V9_BREAK_20210112T000500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12T00:05:00Z,2021-01-12T01:10:10.000Z,1.3669583333333621
V9_BREAK_20210112T054500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12T05:45:00Z,2021-01-12T08:45:00.000Z,-4.018750000000001
V9_BREAK_20210113T003500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13T00:35:00Z,2021-01-13T01:05:00.000Z,-3.982291666666667
V9_BREAK_20210113T081500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13T08:15:00Z,2021-01-13T09:20:00.000Z,6.781311977263589
V9_BREAK_20210114T013000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-14T01:30:00Z,2021-01-14T02:25:00.000Z,6.511631944444444
fccef99737874dc201838eb7,R2_DOWNTREND,2021-01-13T20:00:00.065000Z,2021-01-14T14:24:25.000Z,3.3685837001638492
V7_20210114T031500Z_LONG,V7_SWING_HEALTH,2021-01-14T03:15:00Z,2021-01-14T14:25:00.000Z,10.805007352010033
V9_BREAK_20210115T124500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-15T12:45:00Z,2021-01-15T13:40:00.000Z,-4.257957442126096
V9_BREAK_20210118T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-18T01:35:00Z,2021-01-18T05:40:00.000Z,11.732694617587462
V9_BREAK_20210118T055000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-18T05:50:00Z,2021-01-18T07:55:00.000Z,-4.471096926611677
V9_BREAK_20210119T070500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-19T07:05:00Z,2021-01-19T12:50:00.000Z,-4.058854166666667
V7_20210120T084000Z_SHORT,V7_SWING_HEALTH,2021-01-20T08:40:00Z,2021-01-20T12:10:00.000Z,6.473958333333333
V9_BREAK_20210120T115500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-20T11:55:00Z,2021-01-20T13:00:00.000Z,6.509201388888889
V9_BREAK_20210121T063500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-21T06:35:00Z,2021-01-21T08:14:20.000Z,1.7392083333333028
V7_20210121T075000Z_LONG,V7_SWING_HEALTH,2021-01-21T07:50:00Z,2021-01-21T13:05:00.000Z,-4.0515625
V7_20210122T085500Z_SHORT,V7_SWING_HEALTH,2021-01-22T08:55:00Z,2021-01-22T10:35:00.000Z,6.500694444444445
V9_BREAK_20210122T125500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-22T12:55:00Z,2021-01-22T15:05:00.000Z,9.170057136213472
V7_20210125T011500Z_SHORT,V7_SWING_HEALTH,2021-01-25T01:15:00Z,2021-01-25T06:30:00.000Z,6.4484375
V7_20210125T110500Z_SHORT,V7_SWING_HEALTH,2021-01-25T11:05:00Z,2021-01-25T13:25:00.000Z,-4.009027777777778
V9_BREAK_20210126T072000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-26T07:20:00Z,2021-01-26T07:40:00.000Z,-3.979861111111111
