timestamp_utc,timestamp_broker,symbol,candidate,candidate_family,candidate_status,would_signal,signal_direction,signal_stage,intended_entry_price,intended_stop_loss,intended_take_profit,stop_distance_points,stop_distance_price,bid,ask,spread_points,spread_price,point_size,digits,estimated_entry_spread_R,estimated_slippage_R,estimated_total_cost_R,estimated_gross_edge_R,estimated_net_edge_R,cost_gate_status,session_label,hour_utc,is_rollover_window,tick_fresh,seconds_since_tick,server_time_status,reason_blocked,source_file,source_kind
2026-05-29 09:34:56,2026-05-29 09:35:00,XAUUSD,round_number_retest_v0,breakout_retest_family,PROVISIONAL,true,SHORT,WOULD_SIGNAL,4522.20,4532.33,4507.00,1013.4400,10.1300,4528.39,4528.89,50.0000,0.4998,0.00999566,2,0.0493,0.0000,0.0493,0.5116,0.4623,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_round_number_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 09:34:56,2026-05-29 09:35:00,XAUUSD,symbol_normalized_round_retest_v0,breakout_retest_family,ACCEPTED,true,SHORT,WOULD_SIGNAL,4522.20,4532.33,4507.00,1013.4400,10.1300,4528.39,4528.89,50.0000,0.4998,0.00999566,2,0.0493,0.0000,0.0493,0.5116,0.4623,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_symbol_normalized_round_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 09:39:56,2026-05-29 09:40:00,XAUUSD,breakout_retest,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,4530.50,4524.21,4539.94,629.1800,6.2900,4528.68,4529.18,50.0000,0.4999,0.00999714,2,0.0795,0.0000,0.0795,0.5116,0.4321,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_breakout_retest_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 09:39:56,2026-05-29 09:40:00,XAUUSD,round_number_retest_v0,breakout_retest_family,PROVISIONAL,true,LONG,WOULD_SIGNAL,4530.50,4524.21,4539.94,629.1800,6.2900,4528.68,4529.18,50.0000,0.4999,0.00999714,2,0.0795,0.0000,0.0795,0.5116,0.4321,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_round_number_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 09:39:56,2026-05-29 09:40:00,XAUUSD,swing_breakout_retest_v0,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,4530.50,4524.21,4539.94,629.1800,6.2900,4528.68,4529.18,50.0000,0.4999,0.00999714,2,0.0795,0.0000,0.0795,0.5116,0.4321,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_swing_breakout_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 09:39:56,2026-05-29 09:40:00,XAUUSD,symbol_normalized_round_retest_v0,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,4530.50,4524.21,4539.94,629.1800,6.2900,4528.68,4529.18,50.0000,0.4999,0.00999714,2,0.0795,0.0000,0.0795,0.5116,0.4321,COST_OK_STRONG,LONDON,9,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_symbol_normalized_round_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 10:10:08,2026-05-29 10:10:12,EURUSD,breakout_retest,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,1.16416,1.16374,1.16479,42.0600,0.0004,1.16426,1.16433,7.0000,0.0001,0.00000999,5,0.1664,0.0000,0.1664,0.5116,0.3452,COST_OK_ACCEPTABLE,LONDON,10,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_breakout_retest_eurusd.csv,passive_demo_observer_attachment_log
2026-05-29 10:10:08,2026-05-29 10:10:12,EURUSD,swing_breakout_retest_v0,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,1.16416,1.16374,1.16479,42.0600,0.0004,1.16426,1.16433,7.0000,0.0001,0.00000999,5,0.1664,0.0000,0.1664,0.5116,0.3452,COST_OK_ACCEPTABLE,LONDON,10,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_swing_breakout_retest_v0_eurusd.csv,passive_demo_observer_attachment_log
2026-05-29 10:14:56,2026-05-29 10:15:00,XAUUSD,breakout_retest,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,4528.52,4525.12,4533.62,340.2700,3.4000,4528.22,4528.72,50.0000,0.4996,0.00999207,2,0.1469,0.0000,0.1469,0.5116,0.3647,COST_OK_STRONG,LONDON,10,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_breakout_retest_xauusd.csv,passive_demo_observer_attachment_log
2026-05-29 10:14:56,2026-05-29 10:15:00,XAUUSD,swing_breakout_retest_v0,breakout_retest_family,ACCEPTED,true,LONG,WOULD_SIGNAL,4528.52,4525.12,4533.62,340.2700,3.4000,4528.22,4528.72,50.0000,0.4996,0.00999207,2,0.1469,0.0000,0.1469,0.5116,0.3647,COST_OK_STRONG,LONDON,10,false,true,0,PASSIVE_OBSERVER_IMPORTED,,experimental_demo_attachment_log_swing_breakout_retest_v0_xauusd.csv,passive_demo_observer_attachment_log
