timestamp_broker	timestamp_local	run_id	account	symbol	magic	deal_ticket	position_id	entry_code	type_code	reason_code	direction	volume	price	profit	commission	swap	order_ticket	comment
2022.07.14 03:05:15	2022.07.14 03:05:15	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	25	24	1	0	4	SHORT	0.01	1731.60	-3.51	0.00	0.00	25	sl 1731.59
2022.07.14 05:25:00	2022.07.14 05:25:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	26	26	0	1	3	SHORT	0.01	1727.25	0.00	0.00	0.00	26	A1_M5_MOM_LOWER_HIGH
2022.07.14 07:00:40	2022.07.14 07:00:40	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	27	26	1	0	5	SHORT	0.01	1720.19	7.06	0.00	0.00	27	tp 1720.20
2022.07.14 07:05:00	2022.07.14 07:05:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	28	28	0	1	3	SHORT	0.01	1717.20	0.00	0.00	0.00	28	A1_M5_MOM_LOWER_HIGH
2022.07.14 13:45:31	2022.07.14 13:45:31	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	29	28	1	0	5	SHORT	0.01	1698.90	18.30	0.00	0.00	29	tp 1698.90
2022.07.14 14:05:00	2022.07.14 14:05:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	30	30	0	1	3	SHORT	0.01	1699.33	0.00	0.00	0.00	30	A1_M5_MOM_LOWER_HIGH
2022.07.14 15:00:38	2022.07.14 15:00:38	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	31	30	1	0	4	SHORT	0.01	1709.73	-10.40	0.00	0.00	31	sl 1709.72
2022.07.14 16:25:00	2022.07.14 16:25:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	32	32	0	1	3	SHORT	0.01	1705.40	0.00	0.00	0.00	32	A1_M5_MOM_LOWER_HIGH
2022.07.15 02:03:17	2022.07.15 02:03:17	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	33	32	1	0	4	SHORT	0.01	1715.18	-9.78	0.00	0.00	33	sl 1715.18
2022.07.15 03:20:00	2022.07.15 03:20:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	34	34	0	1	3	SHORT	0.01	1711.75	0.00	0.00	0.00	34	A1_M5_MOM_LOWER_HIGH
