target_year,training_rows,training_last_exit_time,calibration_rows,calibration_start_time,calibration_last_exit_time,calibration_auc,calibration_brier,probability_cutoff,target_rows,target_selected_rows,target_retained_share,target_auc,target_brier
2022,52546,2020-12-29 15:30:00+00:00,11600,2021-01-03 23:05:00+00:00,2021-12-29 15:00:00+00:00,0.5213773105536489,0.2057460524074122,0.27815014091731255,61,58,0.9508196721311475,0.6153846153846154,0.22725617175301843
2023,64277,2021-12-29 15:00:00+00:00,11662,2022-01-02 23:05:00+00:00,2022-12-29 20:00:00+00:00,0.578217730513334,0.21075310871891767,0.2821509447943579,60,37,0.6166666666666667,0.5714285714285714,0.2048067358440185
2024,76070,2022-12-29 20:00:00+00:00,11701,2023-01-02 23:05:00+00:00,2023-12-29 20:55:00+00:00,0.5586271785220791,0.20763786891794514,0.282286258222098,65,51,0.7846153846153846,0.5424430641821947,0.2273862615642096
2025,87861,2023-12-29 20:55:00+00:00,11715,2024-01-02 01:10:00+00:00,2024-12-29 22:25:00+00:00,0.5738945184021155,0.2143806472194707,0.3109963049448003,55,50,0.9090909090909091,0.4918478260869565,0.24833062245311238
2026,99613,2024-12-29 22:25:00+00:00,11590,2025-01-02 01:10:00+00:00,2025-12-29 13:40:00+00:00,0.5381274229998326,0.22071929301948454,0.3242885363105404,36,13,0.3611111111111111,0.49206349206349204,0.2525666593505653
