month,subregime,admitted_individual_experts,training_trades,training_early_trades,training_late_trades,training_profit_factor,training_stress_profit_factor,training_early_profit_factor,training_late_profit_factor,training_net_r,training_overlap_rejections,admitted
2020-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-01,2,2,12,8,4,1.0635819750402173,1.0253698204074937,0.893644536794091,1.4881492000897492,0.4470554962952695,9,False
2020-01,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-01,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-01,5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-01,6,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-02,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-02,4,3,61,29,32,1.1809161247189064,1.1311715205679906,1.3887861694985084,1.0169020175438632,6.1832391846760295,6,False
2020-02,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-02,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-03,6,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-04,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-04,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-04,3,2,27,21,6,2.5303023183835007,2.434561456454703,2.418053830052549,2.9793600629440093,15.376216874999951,26,True
2020-04,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
2020-04,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,False
