month,training_start_utc,training_cutoff_utc,training_signals,score_signals,validated_composite_subregimes,selected_signals,status
2021-11,2018-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,2158,34,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2021-12,2018-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,2120,109,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-01,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2126,60,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-02,2019-02-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,2127,48,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-03,2019-03-01T00:00:00+00:00,2022-03-01T00:00:00+00:00,2111,56,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-04,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2120,47,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-05,2019-05-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,2122,63,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-06,2019-06-01T00:00:00+00:00,2022-06-01T00:00:00+00:00,2082,92,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-07,2019-07-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2149,18,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-08,2019-08-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,2097,82,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-09,2019-09-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,2113,70,1,16,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-10,2019-10-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2128,71,1,7,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-11,2019-11-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,2120,57,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2022-12,2019-12-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,2157,78,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-01,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2203,79,1,1,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-02,2020-02-01T00:00:00+00:00,2023-02-01T00:00:00+00:00,2223,80,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-03,2020-03-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,2290,88,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-04,2020-04-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2371,92,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-05,2020-05-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,2379,50,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-06,2020-06-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,2374,79,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-07,2020-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2389,36,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-08,2020-08-01T00:00:00+00:00,2023-08-01T00:00:00+00:00,2368,103,1,4,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-09,2020-09-01T00:00:00+00:00,2023-09-01T00:00:00+00:00,2398,60,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-10,2020-10-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2406,97,1,9,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-11,2020-11-01T00:00:00+00:00,2023-11-01T00:00:00+00:00,2425,58,1,2,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2023-12,2020-12-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,2408,12,2,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-01,2021-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2373,73,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-02,2021-02-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,2378,91,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-03,2021-03-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,2418,72,2,8,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-04,2021-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2437,57,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
