trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
session_extreme_retest_v0-cell1-194,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2016-04-18T18:20:00+00:00,2016-04-18T19:30:00+00:00,SHORT,1232.83,1233.6416994184572,1231.6124508723142,1233.6416994184572,-63.31255463966454,-0.9960015242971196,stop_triggered,2016-04-18T14:20:00+00:00,2016-04-18T20:30:00+00:00,,,,
session_extreme_retest_v0-cell1-197,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2016-04-20T19:00:00+00:00,2016-04-20T19:05:00+00:00,LONG,1250.52,1249.778795194654,1251.6318072080192,1249.778795194654,-63.002408454419765,-0.9936390155954654,stop_triggered,2016-04-20T15:00:00+00:00,2016-04-20T20:05:00+00:00,,,,
session_extreme_retest_v0-cell1-210,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2016-04-26T12:50:00+00:00,2016-04-26T13:10:00+00:00,SHORT,1234.25,1235.2189577208674,1232.796563418699,1235.2189577208674,-63.951209577246125,-0.9987119683321884,stop_triggered,2016-04-26T08:50:00+00:00,2016-04-26T14:10:00+00:00,,,,
session_extreme_retest_v0-cell1-612,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2016-10-21T20:25:00+00:00,2016-10-24T01:10:00+00:00,LONG,1266.68,1264.6624204718466,1269.7063692922302,1264.6624204718466,-96.84381735136412,-0.996516097014926,stop_triggered,2016-10-21T16:25:00+00:00,2016-10-24T02:10:00+00:00,,,,
session_extreme_retest_v0-cell1-1058,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2017-04-19T18:00:00+00:00,2017-04-19T18:05:00+00:00,SHORT,1280.3,1281.0239188421924,1279.2141217367111,1281.0239188421924,-167.22525254645848,-0.9958337789370332,stop_triggered,2017-04-19T14:00:00+00:00,2017-04-19T19:05:00+00:00,,,,
session_extreme_retest_v0-cell1-1390,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2017-10-02T09:30:00+00:00,2017-10-02T10:20:00+00:00,SHORT,1273.25,1273.8630265723627,1272.330460141456,1273.8630265723627,-217.01140661641057,-0.9991672202809758,stop_triggered,2017-10-02T05:30:00+00:00,2017-10-02T11:20:00+00:00,,,,
session_extreme_retest_v0-cell1-1870,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2018-06-11T15:40:00+00:00,2018-06-11T15:55:00+00:00,LONG,1301.51,1301.020562684051,1302.244155973924,1301.020562684051,-465.9443247837498,-0.9989681312450792,stop_triggered,2018-06-11T11:40:00+00:00,2018-06-11T16:55:00+00:00,,,,
session_extreme_retest_v0-cell1-2068,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2018-09-17T23:55:00+00:00,2018-09-18T01:10:00+00:00,LONG,1198.67,1198.037592230452,1199.6186116543222,1198.037592230452,-609.6410898443501,-0.9994672117199116,stop_triggered,2018-09-17T19:55:00+00:00,2018-09-18T02:10:00+00:00,,,,
session_extreme_retest_v0-cell1-2187,session_extreme_retest_v0,1,XAUUSD,capital_com,best_case,2018-11-13T15:25:00+00:00,2018-11-13T15:35:00+00:00,LONG,1204.13,1203.2769895060778,1205.4095157408829,1203.2769895060778,-746.3841821817994,-0.999497198862839,stop_triggered,2018-11-13T11:25:00+00:00,2018-11-13T16:35:00+00:00,,,,
session_extreme_retest_v0-cell2-95,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2016-02-23T14:40:00+00:00,2016-02-23T15:50:00+00:00,LONG,1223.97,1221.355619740748,1227.891570388878,1221.355619740748,-57.51636570354185,-0.9768523953465668,stop_triggered,2016-02-23T10:40:00+00:00,2016-02-23T16:50:00+00:00,,,,
session_extreme_retest_v0-cell2-130,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2016-03-11T13:10:00+00:00,2016-03-11T13:25:00+00:00,SHORT,1265.84,1268.59085942814,1261.71371085779,1268.59085942814,-60.51890741908165,-0.9796631363294408,stop_triggered,2016-03-11T09:10:00+00:00,2016-03-11T14:25:00+00:00,,,,
session_extreme_retest_v0-cell2-284,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2016-05-20T14:30:00+00:00,2016-05-23T00:35:00+00:00,SHORT,1251.18,1253.650769045481,1247.4738464317788,1253.650769045481,-61.76922613702232,-0.985162590381057,stop_triggered,2016-05-20T10:30:00+00:00,2016-05-23T01:35:00+00:00,,,,
session_extreme_retest_v0-cell2-793,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2017-01-04T22:15:00+00:00,2017-01-04T22:45:00+00:00,LONG,1163.51,1162.9741682699153,1164.313747595127,1162.9741682699153,-113.0604950478796,-0.9982805649058608,stop_triggered,2017-01-04T18:15:00+00:00,2017-01-04T23:45:00+00:00,,,,
session_extreme_retest_v0-cell2-978,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2017-03-13T17:05:00+00:00,2017-03-13T17:25:00+00:00,SHORT,1203.58,1204.3594815166284,1202.4107777250572,1204.3594815166284,-151.9988957425562,-0.9986721886932078,stop_triggered,2017-03-13T13:05:00+00:00,2017-03-13T18:25:00+00:00,,,,
session_extreme_retest_v0-cell2-983,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2017-03-14T18:10:00+00:00,2017-03-15T03:35:00+00:00,SHORT,1197.89,1201.6993656615168,1192.1759515077251,1201.6993656615168,-148.56526079915216,-0.9762076191894218,stop_triggered,2017-03-14T14:10:00+00:00,2017-03-15T04:35:00+00:00,,,,
session_extreme_retest_v0-cell2-1177,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2017-06-19T08:50:00+00:00,2017-06-19T09:05:00+00:00,SHORT,1250.72,1251.091287675035,1250.163068487448,1251.091287675035,-195.29731706821892,-0.9992241849412516,stop_triggered,2017-06-19T04:50:00+00:00,2017-06-19T10:05:00+00:00,,,,
session_extreme_retest_v0-cell2-1199,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2017-06-28T17:15:00+00:00,2017-06-28T17:45:00+00:00,SHORT,1248.91,1249.604797863615,1247.8678032045775,1249.604797863615,-195.23819967578535,-0.9968224869888712,stop_triggered,2017-06-28T13:15:00+00:00,2017-06-28T18:45:00+00:00,,,,
session_extreme_retest_v0-cell2-2211,session_extreme_retest_v0,2,XAUUSD,capital_com,median,2018-11-19T23:45:00+00:00,2018-11-19T23:55:00+00:00,LONG,1223.54,1222.87465286338,1224.5380207049302,1222.87465286338,-749.8462229708355,-0.9995703203956852,stop_triggered,2018-11-19T19:45:00+00:00,2018-11-20T00:55:00+00:00,,,,
session_extreme_retest_v0-cell3-239,session_extreme_retest_v0,3,XAUUSD,capital_com,p95,2016-05-06T00:00:00+00:00,2016-05-06T00:05:00+00:00,SHORT,1276.36,1277.4138040763703,1274.8292938854447,1277.4338040763705,-63.35444050583896,-1.008450062997578,stop_triggered,2016-05-05T20:00:00+00:00,2016-05-06T01:05:00+00:00,,,,
session_extreme_retest_v0-cell3-669,session_extreme_retest_v0,3,XAUUSD,capital_com,p95,2016-11-16T13:05:00+00:00,2016-11-16T13:25:00+00:00,SHORT,1227.01,1228.982337844463,1224.1014932333055,1229.002337844463,-87.66286515637239,-0.9890216236425908,stop_triggered,2016-11-16T09:05:00+00:00,2016-11-16T14:25:00+00:00,,,,
session_extreme_retest_v0-cell3-684,session_extreme_retest_v0,3,XAUUSD,capital_com,p95,2016-11-21T07:25:00+00:00,2016-11-21T07:45:00+00:00,LONG,1214.5,1213.7841305787,1215.5238041319503,1213.7641305787,-89.77606939861153,-1.027885220660917,stop_triggered,2016-11-21T03:25:00+00:00,2016-11-21T08:45:00+00:00,,,,
session_extreme_retest_v0-cell3-816,session_extreme_retest_v0,3,XAUUSD,capital_com,p95,2017-01-11T18:55:00+00:00,2017-01-11T19:20:00+00:00,LONG,1191.32,1189.874860460111,1193.4377093098333,1189.854860460111,-98.16434917255788,-0.9990588448133524,stop_triggered,2017-01-11T14:55:00+00:00,2017-01-11T20:20:00+00:00,,,,
