trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
range_mr-cell1-1,range_mr,1,XAUUSD,capital_com,best_case,2018-10-29T15:55:00+00:00,2018-10-29T16:00:00+00:00,LONG,1227.62,1227.2436937123782,1233.95,1227.2436937123782,-49.672429966060925,-0.9934485993212184,limit_triggered,2018-10-29T11:55:00+00:00,2018-10-29T17:00:00+00:00,,,,
range_mr-cell1-2,range_mr,1,XAUUSD,capital_com,best_case,2018-10-30T07:10:00+00:00,2018-10-30T07:15:00+00:00,LONG,1223.82,1223.486141156921,1230.71,1223.486141156921,-49.74496761877731,-0.999865929410958,limit_triggered,2018-10-30T03:10:00+00:00,2018-10-30T08:15:00+00:00,,,,
range_mr-cell1-3,range_mr,1,XAUUSD,capital_com,best_case,2018-12-31T07:05:00+00:00,2018-12-31T07:10:00+00:00,SHORT,1281.06,1281.281018803858,1277.38,1281.281018803858,-49.28719326033115,-0.9956422816634642,limit_triggered,2018-12-31T03:05:00+00:00,2018-12-31T08:10:00+00:00,,,,
range_mr-cell2-1,range_mr,2,XAUUSD,capital_com,median,2018-10-29T15:55:00+00:00,2018-10-29T16:00:00+00:00,LONG,1227.62,1227.2436937123782,1233.95,1227.2436937123782,-49.672429966060925,-0.9934485993212184,limit_triggered,2018-10-29T11:55:00+00:00,2018-10-29T17:00:00+00:00,,,,
range_mr-cell2-2,range_mr,2,XAUUSD,capital_com,median,2018-10-30T07:10:00+00:00,2018-10-30T07:15:00+00:00,LONG,1223.82,1223.486141156921,1230.71,1223.486141156921,-49.74496761877731,-0.999865929410958,limit_triggered,2018-10-30T03:10:00+00:00,2018-10-30T08:15:00+00:00,,,,
range_mr-cell2-3,range_mr,2,XAUUSD,capital_com,median,2018-12-31T07:05:00+00:00,2018-12-31T07:10:00+00:00,SHORT,1281.06,1281.281018803858,1277.38,1281.281018803858,-49.28719326033115,-0.9956422816634642,limit_triggered,2018-12-31T03:05:00+00:00,2018-12-31T08:10:00+00:00,,,,
range_mr-cell3-1,range_mr,3,XAUUSD,capital_com,p95,2018-10-29T15:55:00+00:00,2018-10-29T16:00:00+00:00,LONG,1227.64,1227.2436937123782,1233.95,1227.2236937123782,-52.45459224032629,-1.0490918448065258,limit_triggered,2018-10-29T11:55:00+00:00,2018-10-29T17:00:00+00:00,,,,
range_mr-cell3-2,range_mr,3,XAUUSD,capital_com,p95,2018-10-30T07:10:00+00:00,2018-10-30T07:15:00+00:00,LONG,1223.84,1223.486141156921,1230.71,1223.466141156921,-52.34023803106084,-1.0523246868565657,limit_triggered,2018-10-30T03:10:00+00:00,2018-10-30T08:15:00+00:00,,,,
range_mr-cell3-3,range_mr,3,XAUUSD,capital_com,p95,2018-12-31T07:05:00+00:00,2018-12-31T07:10:00+00:00,SHORT,1281.04,1281.281018803858,1277.38,1281.301018803858,-53.50885479087992,-1.0815107695709854,limit_triggered,2018-12-31T03:05:00+00:00,2018-12-31T08:10:00+00:00,,,,
range_mr-cell4-1,range_mr,4,XAUUSD,pepperstone,best_case,2019-05-16T17:55:00+00:00,2019-05-16T18:00:00+00:00,LONG,1289.95,1289.5787569585038,1298.72,1289.5787569585038,-49.7465675604908,-0.994931351209816,limit_triggered,2019-05-16T13:55:00+00:00,2019-05-16T19:00:00+00:00,,,,
