candidate_id,instrument_id,feature_time_utc,first_event_utc,last_event_utc,price_open,price_high,price_low,price_last,contract_volume,signed_volume,lookback_seconds,level_spacing_usd,baseline_price,baseline_time_ns,barrier_level,probe_usd,rejection_usd,current_flow_imbalance,current_flow_volume,instrument_age_seconds,direction,date_utc,family,policy_id
V71:LS100__LB120__PR040__RJ080__FI25:1656684760000:SHORT,5568,2022-07-01 14:12:40+00:00,2022-07-01 14:12:39.041454625+00:00,2022-07-01 14:12:39.865362567+00:00,1799.4,1799.4,1799.1,1799.1,48.0,14.0,120,10.0,1797.8,1656684640000000000,1800.0,0.7999999999999545,0.900000000000091,-0.3532934131736527,167.0,6759.0,SHORT,2022-07-01,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657025097000:LONG,5568,2022-07-05 12:44:57+00:00,2022-07-05 12:44:56.276617237+00:00,2022-07-05 12:44:56.719300865+00:00,1800.8,1800.9,1800.8,1800.9,14.0,12.0,120,10.0,1801.3,1657024977000000000,1800.0,0.599999999999909,0.900000000000091,0.8947368421052632,19.0,1496.0,LONG,2022-07-05,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657110314000:LONG,5568,2022-07-06 12:25:14+00:00,2022-07-06 12:25:13.764471169+00:00,2022-07-06 12:25:13.764471169+00:00,1760.9,1760.9,1760.9,1760.9,1.0,1.0,120,10.0,1760.2,1657110194000000000,1760.0,0.7999999999999545,0.900000000000091,0.5714285714285714,14.0,313.0,LONG,2022-07-06,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657196846000:LONG,5568,2022-07-07 12:27:26+00:00,2022-07-07 12:27:25.000130929+00:00,2022-07-07 12:27:25.025482621+00:00,1740.8,1740.9,1740.8,1740.9,13.0,13.0,120,10.0,1740.2,1657196726000000000,1740.0,0.40000000000009095,0.900000000000091,0.5714285714285714,28.0,445.0,LONG,2022-07-07,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657283132000:SHORT,5568,2022-07-08 12:25:32+00:00,2022-07-08 12:25:31.000743281+00:00,2022-07-08 12:25:31.002496311+00:00,1739.2,1739.2,1739.1,1739.1,8.0,-8.0,120,10.0,1738.7,1657283007000000000,1740.0,0.599999999999909,0.900000000000091,-1.0,9.0,331.0,SHORT,2022-07-08,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657547627000:SHORT,5568,2022-07-11 13:53:47+00:00,2022-07-11 13:53:46.348909481+00:00,2022-07-11 13:53:46.928059157+00:00,1739.3,1739.3,1739.1,1739.1,19.0,-15.0,120,10.0,1739.0,1657547507000000000,1740.0,1.2999999999999545,0.900000000000091,-0.5294117647058824,34.0,5626.0,SHORT,2022-07-11,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657628876000:LONG,5568,2022-07-12 12:27:56+00:00,2022-07-12 12:27:55.553300403+00:00,2022-07-12 12:27:55.828476509+00:00,1730.7,1731.2,1730.7,1731.2,74.0,49.0,120,10.0,1731.3,1657628756000000000,1730.0,0.599999999999909,1.2000000000000455,0.611764705882353,85.0,475.0,LONG,2022-07-12,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657715895000:LONG,5568,2022-07-13 12:38:15+00:00,2022-07-13 12:38:14.208557059+00:00,2022-07-13 12:38:14.991114745+00:00,1711.3,1711.7,1711.3,1711.6,39.0,17.0,120,10.0,1710.2,1657715775000000000,1710.0,1.5,1.599999999999909,0.2814070351758794,199.0,1094.0,LONG,2022-07-13,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657801809000:SHORT,5568,2022-07-14 12:30:09+00:00,2022-07-14 12:30:08.140405481+00:00,2022-07-14 12:30:08.985119437+00:00,1709.6,1709.6,1709.0,1709.0,50.0,-28.0,120,10.0,1709.3,1657801686000000000,1710.0,1.0,1.0,-0.5384615384615384,143.0,608.0,SHORT,2022-07-14,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1657888227000:LONG,5568,2022-07-15 12:30:27+00:00,2022-07-15 12:30:26.015433695+00:00,2022-07-15 12:30:26.832002229+00:00,1701.7,1701.8,1701.6,1701.7,36.0,18.0,120,10.0,1702.8,1657888106000000000,1700.0,0.5,1.7000000000000455,0.32038834951456313,103.0,626.0,LONG,2022-07-15,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1658147514000:LONG,5568,2022-07-18 12:31:54+00:00,2022-07-18 12:31:53.168089597+00:00,2022-07-18 12:31:53.922384573+00:00,1710.7,1710.9,1710.7,1710.9,19.0,19.0,120,10.0,1710.4,1658147394000000000,1710.0,0.599999999999909,0.900000000000091,0.6666666666666666,24.0,713.0,LONG,2022-07-18,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1658324575000:SHORT,5568,2022-07-20 13:42:55+00:00,2022-07-20 13:42:54.629131375+00:00,2022-07-20 13:42:54.629131375+00:00,1709.1,1709.1,1709.1,1709.1,2.0,-2.0,120,10.0,1709.8,1658324455000000000,1710.0,0.7999999999999545,0.900000000000091,-0.5,24.0,4974.0,SHORT,2022-07-20,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1658406325000:LONG,5568,2022-07-21 12:25:25+00:00,2022-07-21 12:25:24.223521839+00:00,2022-07-21 12:25:24.532775195+00:00,1691.3,1691.3,1691.2,1691.2,7.0,-5.0,120,10.0,1690.3,1658406205000000000,1690.0,1.2999999999999545,1.2000000000000455,0.2900763358778626,131.0,324.0,LONG,2022-07-21,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
V71:LS100__LB120__PR040__RJ080__FI25:1658501640000:SHORT,5568,2022-07-22 14:54:00+00:00,2022-07-22 14:53:59.432757523+00:00,2022-07-22 14:53:59.864745311+00:00,1729.2,1729.2,1729.1,1729.1,7.0,-3.0,120,10.0,1729.7,1658501518000000000,1730.0,0.5,0.900000000000091,-0.7419354838709677,31.0,9239.0,SHORT,2022-07-22,ROUND_BARRIER_REJECTION,LS100__LB120__PR040__RJ080__FI25
