diagnostic,count,mean,std,minimum,p05,p50,p95,maximum
intercept,209419,1.52577294399e-06,5.40547294245e-06,-1.59727371303e-05,-6.86199257235e-06,1.33553091508e-06,1.12711139554e-05,2.03055968449e-05
beta_xag,209419,0.317559095892,0.0610917321704,0.1995008321,0.229542999377,0.31176263391,0.437458202037,0.513763136006
beta_eurusd,209419,0.142227171789,0.124030333945,-0.28206461303,-0.0565861106143,0.159376523216,0.30872762701,0.478342197143
beta_usdjpy,209419,-0.3091944875,0.136745545043,-0.690611292044,-0.577994225482,-0.269862748169,-0.146502898862,-0.0410026414367
