specialist_id,direction,excursion_episode_id,UTC_date,chronological_segment,candidate_bar_time,residual_z_previous,residual_z_current,r_xau,predicted_r_xau,residual,beta_xag,beta_eurusd,beta_usdjpy,condition_number,H1_ATR14,H1_ATR_percentile,current_spread,current_spread_percentile,prior_spread_P99,UTC_time_of_day,unsafe_filter_passed,signal_accepted_pre_execution,signal_accepted,rejection_reason,entry_time,entry_bid,entry_ask,entry_price,entry_spread,entry_delay_milliseconds,M5_ATR14,stop,target,initial_risk_price
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-07-16-00001,2021-07-16,DEVELOPMENT,2021-07-16T10:45:00.000Z,-0.331156536606,-5.48011439754,-0.00197321626355,-0.000621876074793,-0.00135134018876,0.421340528896,0.178528763382,-0.359018442551,6508.42430165,3.16825351844,,,,0.504,10:50:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,1.13845540112,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-07-16-00002,2021-07-16,DEVELOPMENT,2021-07-16T11:15:00.000Z,-0.925224250682,-4.90909625676,-0.000299924745902,0.000930293317372,-0.00123021806327,0.42221783651,0.17935602606,-0.358612281755,6517.6071014,3.43041398141,,,,0.504,11:20:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,1.28671974133,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-07-16-00003,2021-07-16,DEVELOPMENT,2021-07-16T12:15:00.000Z,0.913063150305,-2.5594024285,-0.000851940965304,-0.000192565070212,-0.000659375895092,0.42113033331,0.180496020241,-0.364667783107,6525.28944854,3.53359869702,,,,0.504,12:20:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,1.54244927883,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-07-16-00001,2021-07-16,DEVELOPMENT,2021-07-16T12:20:00.000Z,-2.5594024285,5.34397302134,0.0017607935535,0.000402199144659,0.00135859440884,0.421363459391,0.178549777361,-0.365687997072,6523.38925335,3.53359869702,,,,0.504,12:25:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,1.68156004462,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-07-16-00002,2021-07-16,DEVELOPMENT,2021-07-16T12:40:00.000Z,-1.0050972636,6.01614381664,0.00140485686434,-0.000185012309035,0.00158986917337,0.421004550862,0.178338417889,-0.3652685478,6518.76657956,3.53359869702,,,,0.504,12:45:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.05047482649,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-07-16-00004,2021-07-16,DEVELOPMENT,2021-07-16T14:15:00.000Z,-1.70803464445,-5.05270063456,-0.00113011727466,0.000275078037067,-0.00140519531172,0.419311485105,0.189574914513,-0.364041933771,6510.96125443,3.94065397856,,,,0.504,14:20:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.56363339089,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-07-16-00003,2021-07-16,DEVELOPMENT,2021-07-16T14:25:00.000Z,-1.05037659874,3.62742806602,0.00047335167319,-0.000552863506487,0.00102621517968,0.419023094104,0.187624074449,-0.36477590678,6503.06386997,3.94065397856,,,,0.504,14:30:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.56208440337,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-07-16-00005,2021-07-16,DEVELOPMENT,2021-07-16T14:40:00.000Z,0.758755813232,-2.96680138053,-0.0011403734719,-0.000281127968834,-0.000859245503067,0.416855474798,0.193103445946,-0.362424406619,6500.38723461,3.94065397856,,,,0.504,14:45:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.5308226801,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-07-16-00004,2021-07-16,DEVELOPMENT,2021-07-16T15:00:00.000Z,-1.83009438015,3.7362501061,-0.00038069386053,-0.00146824585774,0.00108755199721,0.415834025963,0.193371139975,-0.35925063133,6501.68740176,4.67650012295,,,,0.504,15:05:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.35003877464,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-07-16-00005,2021-07-16,DEVELOPMENT,2021-07-16T15:40:00.000Z,-0.90714847852,2.58816768554,-0.000236793453464,-0.00101079652947,0.000774003076003,0.411857880818,0.198805614929,-0.366989750926,6505.95369576,4.67650012295,,,,0.504,15:45:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.12396877481,,,
