simulation_id,specialist_id,direction,excursion_episode_id,UTC_date,chronological_segment,candidate_time,entry_time,entry_source_sequence,entry_bid,entry_ask,entry_price,entry_spread,stop,target,initial_risk_price,exit_time,exit_source_sequence,exit_timestamp_group_size,exit_ordering_quality,exit_bid,exit_ask,exit_price,exit_spread,exit_reason,residual_z_at_entry,residual_z_at_exit_signal,gross_R,baseline_net_R,stress_incremental_entry_spread_R,stress_incremental_exit_spread_R,stress_slippage_R,stress_net_R,broker_transfer_R,MFE_R,MAE_R,holding_minutes,stop_gap,target_gap,identical_timestamp_ambiguity,convergence_exit,expiry_exit,forced_exit,post_exit_invariance_contract,Capital_minimum_volume_loss,Capital_required_margin,Capital_post_entry_free_margin,Capital_account_feasible,Capital_rejection_reason
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-02-00045,2021-08-02,DEVELOPMENT,2021-08-02T12:00:00.000Z,2021-08-02T12:05:00.222Z,2021080212:0000001150,1807.398,1807.742,1807.742,0.344,1806.31095419,1809.88856872,1.43104581042,2021-08-02T12:10:00.600Z,2021080212:0000001958,1,SOURCE_SEQUENCE_ORDERED,1807.578,1807.872,1807.578,0.294,RESIDUAL_CONVERGENCE,-5.59111208645,2.15704537626,0.108312395642,-0.114601502485,0.0335419031665,0.051011644399,0.05,-0.249155050051,-0.264601502485,0.346599666054,-0.848330634252,5.0063,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-02-00041,2021-08-02,DEVELOPMENT,2021-08-02T12:30:00.000Z,2021-08-02T12:35:00.100Z,2021080212:0000006713,1809.748,1810.052,1809.748,0.304,1811.63396441,1806.91905339,1.88596440857,2021-08-02T12:45:00.248Z,2021080212:0000007981,1,SOURCE_SEQUENCE_ORDERED,1810.048,1810.465,1810.465,0.417,RESIDUAL_CONVERGENCE,3.61069308865,-0.779351158747,-0.189027957463,-0.380176845725,0.0360558235835,0.00609767604722,0.05,-0.472330345356,-0.530176845725,0.183460514116,-0.792167653436,10.0024666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-02-00046,2021-08-02,DEVELOPMENT,2021-08-02T12:55:00.000Z,2021-08-02T13:00:00.094Z,2021080213:0000000000,1806.598,1806.952,1806.952,0.354,1805.00133473,1809.87799791,1.95066527461,2021-08-02T13:05:00.139Z,2021080213:0000001255,1,SOURCE_SEQUENCE_ORDERED,1807.478,1807.882,1807.478,0.404,RESIDUAL_CONVERGENCE,-2.71364172045,2.75242687892,0.463944281872,0.269651593662,0.0220437614591,0.0092276210759,0.05,0.188380211127,0.119651593662,0.664388717465,-0.181476547826,5.00075,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-02-00042,2021-08-02,DEVELOPMENT,2021-08-02T13:00:00.000Z,2021-08-02T13:05:00.139Z,2021080213:0000001255,1807.478,1807.882,1807.478,0.404,1809.43531418,1804.54202872,1.95731418356,2021-08-02T13:13:20.774Z,2021080213:0000002844,1,SOURCE_SEQUENCE_ORDERED,1809.138,1809.492,1809.492,0.354,STOP,2.75242687892,,-0.835328336007,-1.02896102062,0.00919627525879,0.0219688797849,0.05,-1.11012617567,-1.17896102062,0.549732898803,-1.02896102062,8.34391666667,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-02-00043,2021-08-02,DEVELOPMENT,2021-08-02T15:05:00.000Z,2021-08-02T15:10:00.598Z,2021080215:0000001830,1815.398,1815.752,1815.398,0.354,1817.39296311,1812.40555534,1.99496310998,2021-08-02T15:15:00.012Z,2021080215:0000002622,1,SOURCE_SEQUENCE_ORDERED,1815.038,1815.422,1815.422,0.384,RESIDUAL_CONVERGENCE,2.76789424187,-1.69252077016,0.172935528619,-0.0120302976431,0.0215542832772,0.0140353472503,0.05,-0.0976199281706,-0.162030297643,0.188474663075,-0.297749866666,4.99023333333,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-03-00044,2021-08-03,DEVELOPMENT,2021-08-03T12:30:00.000Z,2021-08-03T12:35:00.790Z,2021080312:0000005957,1808.228,1808.652,1808.228,0.424,1809.73468561,1805.96797159,1.50668560799,2021-08-03T12:40:00.116Z,2021080312:0000006764,1,SOURCE_SEQUENCE_ORDERED,1807.448,1807.742,1807.742,0.294,RESIDUAL_CONVERGENCE,2.59688013322,-1.91551186324,0.560833657348,0.322562316534,0.00530966776188,0.0484507183271,0.05,0.218801930445,0.172562316534,0.580081202985,-0.500436186556,4.98876666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-03-00045,2021-08-03,DEVELOPMENT,2021-08-03T12:40:00.000Z,2021-08-03T12:45:00.238Z,2021080312:0000007618,1809.528,1809.912,1809.528,0.384,1811.18750188,1807.03874719,1.65950187627,2021-08-03T12:47:35.336Z,2021080312:0000008065,1,SOURCE_SEQUENCE_ORDERED,1810.971,1811.229,1811.229,0.258,STOP,3.10122464459,,-0.831574835636,-1.02500637349,0.016872532897,0.0548357319151,0.05,-1.1467146383,-1.17500637349,0,-1.02500637349,2.58496666667,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-03-00047,2021-08-03,DEVELOPMENT,2021-08-03T12:55:00.000Z,2021-08-03T13:00:00.003Z,2021080313:0000000000,1812.551,1812.902,1812.902,0.351,1811.09699248,1815.60951127,1.80500751537,2021-08-03T13:08:45.498Z,2021080313:0000001817,1,SOURCE_SEQUENCE_ORDERED,1811.088,1811.482,1811.088,0.394,STOP,-2.85762865929,,-0.798611633318,-1.0049819652,0.0246536369633,0.012742329217,0.05,-1.09237793138,-1.1549819652,0,-1.0049819652,8.75825,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-03-00046,2021-08-03,DEVELOPMENT,2021-08-03T13:30:00.000Z,2021-08-03T13:35:00.088Z,2021080313:0000006316,1811.158,1811.552,1811.158,0.394,1813.03162263,1808.34756606,1.87362262949,2021-08-03T13:39:57.736Z,2021080313:0000007583,1,SOURCE_SEQUENCE_ORDERED,1812.658,1813.052,1813.052,0.394,STOP,2.66299715113,,-0.800588110108,-1.01087592036,0.012275684355,0.012275684355,0.05,-1.08542728907,-1.16087592036,0.590300299853,-1.01087592036,4.9608,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-03-00047,2021-08-03,DEVELOPMENT,2021-08-03T13:45:00.000Z,2021-08-03T13:50:00.014Z,2021080313:0000010226,1813.998,1814.342,1813.998,0.344,1815.99636467,1811.00045299,1.99836467456,2021-08-03T13:55:00.147Z,2021080313:0000011714,1,SOURCE_SEQUENCE_ORDERED,1813.308,1813.682,1813.682,0.374,RESIDUAL_CONVERGENCE,4.38166164139,-0.360481126033,0.337776186996,0.158129296431,0.0240196399641,0.0165135024754,0.05,0.0675961539912,0.00812929643071,0.323264321184,-0.637521277382,5.00221666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
