specialist_id,month,trades,wins,losses,net_R,expectancy_R,profit_factor,maximum_closed_drawdown_R,top_ten_winners_fraction,top_three_winning_days_fraction,active_months,annualized_trades,median_monthly_trades
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2023-11,55,26,29,-6.13575742684,-0.111559225943,0.717526839274,8.95900108917,0.607162422085,0.215573009846,1,18.3333333333,55
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2023-12,51,23,28,-7.97855560048,-0.156442266676,0.601411877062,10.7979803305,0.69113302512,0.404217027129,1,17,51
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-01,62,24,38,-8.00197262252,-0.129064074557,0.632089859633,10.7547326025,0.746461599051,0.353533726961,1,20.6666666667,62
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-02,55,19,35,-17.8770247424,-0.325036813499,0.324268626816,18.4376023557,0.830919485705,0.196247008095,1,18.3333333333,55
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-03,50,16,34,-15.5274814061,-0.310549628122,0.362260933975,16.0103779682,0.881894566926,0.246737226949,1,16.6666666667,50
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-04,43,23,20,-4.26673984925,-0.0992265081222,0.729308931638,5.22628836123,0.658272108533,0.424382608334,1,14.3333333333,43
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-05,67,27,40,-12.3683253409,-0.184601870759,0.545653100289,14.3841397397,0.636973607271,0.387414122744,1,22.3333333333,67
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,2024-06,55,27,28,-6.48550226227,-0.11791822295,0.697192411558,8.80639332858,0.602690334675,0.31644892853,1,18.3333333333,55
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2021-08,69,33,36,-12.2579502614,-0.177651453064,0.542486670059,14.8530577249,0.651931022961,0.315100318015,1,23,69
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2021-09,82,38,44,-8.20045766085,-0.10000558123,0.714697426686,11.5699257249,0.571753849662,0.326952728565,1,27.3333333333,82
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2021-10,58,24,33,-9.26850134024,-0.159801747245,0.567541267201,12.3052113584,0.746583152375,0.354486214562,1,19.3333333333,58
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2021-11,68,40,27,2.40214670014,0.0353256867668,1.13739457016,6.76007403817,0.579197583774,0.455800512508,1,22.6666666667,68
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2021-12,57,20,37,-16.8428734073,-0.295489007145,0.381874126866,17.3304176701,0.830175526145,0.200480202083,1,19,57
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-01,45,14,31,-13.5498821393,-0.301108491983,0.285511385284,13.5498821393,0.944891556282,0.26667561645,1,15,45
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-02,46,20,26,-8.13075789715,-0.17675560646,0.556418738168,10.9429596637,0.72170701301,0.334918392194,1,15.3333333333,46
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-03,63,34,29,-6.22542628249,-0.0988162901982,0.696794310614,10.0357198204,0.63077364654,0.232690537892,1,21,63
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-04,56,34,22,11.7111246361,0.209127225645,1.88109929836,4.16767377147,0.585026241171,0.32780425254,1,18.6666666667,56
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-05,62,26,36,-7.12172397307,-0.114866515695,0.655788881196,10.4796336674,0.777718954097,0.292020609989,1,20.6666666667,62
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-06,62,23,39,-17.4917545121,-0.282125072775,0.382937892447,17.4917545121,0.733930402466,0.35377827133,1,20.6666666667,62
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-07,59,29,30,-4.32418249807,-0.0732912287809,0.795638527975,11.1445055471,0.64155586836,0.319160756474,1,19.6666666667,59
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-08,68,25,43,-16.5244973676,-0.24300731423,0.467920904205,16.5244973676,0.743859024022,0.232211948756,1,22.6666666667,68
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-09,42,20,22,-4.20144255604,-0.100034346572,0.72900202539,7.54757590332,0.779866096379,0.453422860165,1,14,42
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-10,61,29,32,-11.2236281274,-0.183993903727,0.474945586045,12.3670990242,0.699339432238,0.130992167535,1,20.3333333333,61
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-11,50,15,35,-7.83088679017,-0.156617735803,0.561002457358,11.8035653072,0.917046648533,0.359774281598,1,16.6666666667,50
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2022-12,52,21,31,-17.56078104,-0.337707327692,0.336359383416,19.8046538677,0.744781032241,0.406162335763,1,17.3333333333,52
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-01,64,23,40,-18.0096388145,-0.281400606476,0.373103147202,18.3794844159,0.817024960601,0.193700769139,1,21.3333333333,64
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-02,46,21,25,-5.24068598653,-0.113927956229,0.7224105173,6.09400587301,0.78101216739,0.3138090661,1,15.3333333333,46
