symbol,month,tick_count,exact_duplicate_count,conflicting_same_timestamp_count,negative_spread_count,zero_spread_count,gaps_over_60s,longest_gap_ms
EURUSD,2021-07,1342684,0,0,0,0,684,173059114
EURUSD,2021-08,953698,0,0,0,0,1239,173037598
EURUSD,2021-09,1226796,0,0,0,0,936,172808222
EURUSD,2021-10,1155325,0,0,0,0,864,172808444
EURUSD,2021-11,1493555,0,0,0,0,460,176400377
EURUSD,2021-12,1404696,0,0,0,0,682,173216901
EURUSD,2022-01,1398880,0,0,0,0,484,172804685
EURUSD,2022-02,1737810,0,0,0,0,300,172804362
EURUSD,2022-03,2702726,0,0,0,0,212,172815415
EURUSD,2022-04,2083732,0,0,0,0,234,173047423
EURUSD,2022-05,2632660,0,0,0,0,313,173042165
EURUSD,2022-06,2531982,0,0,0,0,317,173069568
EURUSD,2022-07,2980809,0,0,0,0,241,173051618
EURUSD,2022-08,3545533,0,0,0,0,207,173040457
EURUSD,2022-09,4515430,0,0,0,0,177,173045357
EURUSD,2022-10,4860363,0,0,0,0,212,172850301
EURUSD,2022-11,4428942,0,0,0,0,138,176406990
EURUSD,2022-12,3531583,0,0,0,0,340,172870105
EURUSD,2023-01,2971538,0,0,0,0,289,172806741
EURUSD,2023-02,2687210,0,0,0,0,235,172804905
EURUSD,2023-03,3382087,0,0,0,0,367,172803772
EURUSD,2023-04,1881792,0,0,0,0,486,173082460
EURUSD,2023-05,2236715,0,0,0,0,421,172821842
EURUSD,2023-06,2051718,0,0,0,0,381,173048509
EURUSD,2023-07,2114644,0,0,0,0,378,173043999
EURUSD,2023-08,2238800,0,0,0,0,345,173034790
EURUSD,2023-09,1737379,0,0,0,0,513,172829917
EURUSD,2023-10,2199266,0,0,0,0,341,173067761
EURUSD,2023-11,1940625,0,0,0,0,364,176406516
EURUSD,2023-12,2113692,0,0,0,0,318,176477937
EURUSD,2024-01,2173021,0,0,0,0,288,173042509
EURUSD,2024-02,1709485,0,0,0,0,278,172801373
EURUSD,2024-03,1477402,0,0,0,0,437,172860411
EURUSD,2024-04,1563493,0,0,0,0,442,173040414
EURUSD,2024-05,1244928,0,0,0,0,655,172809421
EURUSD,2024-06,1334494,0,0,0,0,598,172812397
USDJPY,2021-07,1210728,0,0,0,0,868,172968779
USDJPY,2021-08,1034006,0,0,0,0,1207,173072166
USDJPY,2021-09,1084211,0,0,0,0,955,173038966
USDJPY,2021-10,1418880,0,0,0,0,561,173002334
USDJPY,2021-11,1779754,0,0,0,0,320,176400687
