record_type,instrument,month,basis,timeframe,item_count,first_utc,last_utc,logical_path,bytes,sha256,contract_sha256
TICKS,EURUSD,2022-06,Bid/Ask,TICK,2531982,2022-06-01T00:00:00.157Z,2022-06-30T23:59:59.906Z,normalized/EURUSD/year=2022/month=06/ticks.parquet,28286995,01ba59cd14b6b4436e995aa75a92cc96c7d538bdb55e3e7170c6fd7cbb7450c1,161f9095ddd890ee35ca2e64d9c7c19bf1e0745db191de15f75063d34477aece
BARS,EURUSD,2022-06,Bid,M5,6336,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=06/bars.parquet,162896,db92a3c0502a990654c1c249731fb8e0976b5646e9e37c87985614ad4f3db7e2,
BARS,EURUSD,2022-06,Bid,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=06/bars.parquet,22915,9242ed46087232995bc7dffff33f20760fac76008715e4cd9f5d259e203d437d,
BARS,EURUSD,2022-06,Ask,M5,6336,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=06/bars.parquet,162706,498ffd82cf3c6807addaf92d5973a2abc6b478848fea22dc7927b18383d42978,
BARS,EURUSD,2022-06,Ask,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=06/bars.parquet,22892,df72833bc5485e9bf24cab9c438a7c82f6c5cbce1f6e483b84ed31c9a028edda,
BARS,EURUSD,2022-06,Mid,M5,6336,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=06/bars.parquet,179502,d8f77ffdd71dac5ca2f8f95f98f51dea58093d67a82915a39452d926e821e503,
BARS,EURUSD,2022-06,Mid,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=06/bars.parquet,23558,c1848e31910faf39e20c71060b426edfbffad5e717c7fc92f8d1bb7aae28e73d,
TICKS,EURUSD,2022-07,Bid/Ask,TICK,2980809,2022-07-01T00:00:00.059Z,2022-07-31T23:59:59.344Z,normalized/EURUSD/year=2022/month=07/ticks.parquet,32857655,b14e79145b4fa541ceff7783df38b9fc857a0a5bef3b4ff22fe395e91284bf22,067debaadc39dd7cfa6b06f69d5eb92468167b9ca77d41534e102ffefc14c61a
BARS,EURUSD,2022-07,Bid,M5,6047,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=07/bars.parquet,156120,d67ce7643f96027a63163d6fe9ac6d49d87381328eda1107c519370c23b1cb57,
BARS,EURUSD,2022-07,Bid,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=07/bars.parquet,22017,c8b19a80543b807669d033680c1823ff77c9df81d765c394da9c2ad90d3771e5,
BARS,EURUSD,2022-07,Ask,M5,6047,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=07/bars.parquet,156625,97dd975621f2831230138101acb6244f0cf5ed4069676d9aad46e4b40c421976,
BARS,EURUSD,2022-07,Ask,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=07/bars.parquet,21816,a043ff75a2517d66fb343e71ed05d8821b13616844244f2e03d2b5ffb4a23082,
BARS,EURUSD,2022-07,Mid,M5,6047,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=07/bars.parquet,171541,cf6355bc79a480d7bfba69ec8e8577d314f73d6c7ca838243706d5a45936f856,
BARS,EURUSD,2022-07,Mid,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=07/bars.parquet,22509,06477b87ee94fe4077565dbb68a633a432eddf53f6208484c4f36fd8b42332e6,
TICKS,EURUSD,2022-08,Bid/Ask,TICK,3545533,2022-08-01T00:00:00.253Z,2022-08-31T23:59:59.965Z,normalized/EURUSD/year=2022/month=08/ticks.parquet,38826258,126cb522820b07ca07357d7492e2e30c4d1a048b9b9fc64d0d1db83a76239519,c2cbdf4787b7b7dce7e94fe22ff30fe054a93fcf02924e18c562f6ddc4716a99
BARS,EURUSD,2022-08,Bid,M5,6623,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=08/bars.parquet,169536,3c63a6e60dd73031dc3a7a0f3ff4b3f458fb5e7486cd215bc1e6876e9d039eac,
BARS,EURUSD,2022-08,Bid,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=08/bars.parquet,23685,08e5d88413c49f1cd686da95f779f3d5cc214e5e8dba125b19c707313f8313b1,
BARS,EURUSD,2022-08,Ask,M5,6623,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=08/bars.parquet,169378,64de1237af00fcfc1fe78411ff145f2c8b4dae36c345f1bd1aeb58ab376c086c,
BARS,EURUSD,2022-08,Ask,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=08/bars.parquet,23744,840a438c7fe22dd529fa537575d2d0c36eca8c00726bee3653a2abb0d048e707,
BARS,EURUSD,2022-08,Mid,M5,6623,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=08/bars.parquet,186853,18edf5a3e4cc3a14f9862c422e24505500e6448b932db2358b7d4450ff734014,
BARS,EURUSD,2022-08,Mid,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=08/bars.parquet,24458,e271cd23dd8ccb2744c3b5f9c71737f40b4867e10ad2db7de5106d105d173324,
TICKS,EURUSD,2022-09,Bid/Ask,TICK,4515430,2022-09-01T00:00:00.169Z,2022-09-30T20:59:58.203Z,normalized/EURUSD/year=2022/month=09/ticks.parquet,48869345,e1f61066eef8570d8e12c0bd4cd759b681dc41bae6ee693b06754a96c202da7f,828a50c850b9278195bb10c1754787376a91e5e5119770fca6de236448f924b6
BARS,EURUSD,2022-09,Bid,M5,6300,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=09/bars.parquet,164972,2bccd3b4e1ab1b1c74ec371985d95fb58f85536fb243163be0647ffb2b5ef53f,
BARS,EURUSD,2022-09,Bid,H1,525,2022-09-01T00:00:00.000Z,2022-09-30T20:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=09/bars.parquet,22702,3191b531d17a8bc4825cb3a825c086681c7a4988b5c466664e05f2ede17cb777,
BARS,EURUSD,2022-09,Ask,M5,6300,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=09/bars.parquet,165044,f6cc14becc398d9159697023d58004d6ae906f2faf21392d079777ca83e252fa,
BARS,EURUSD,2022-09,Ask,H1,525,2022-09-01T00:00:00.000Z,2022-09-30T20:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=09/bars.parquet,22816,7269216b2c30c70eb6eafe6a22ee9e94f0abbbb23c0dc9712974457cd0a4773c,
BARS,EURUSD,2022-09,Mid,M5,6300,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=09/bars.parquet,181591,1863296f8867649fbbd374efaaf7575dc4a0b197af983c67f5a80cba73a37ed7,
BARS,EURUSD,2022-09,Mid,H1,525,2022-09-01T00:00:00.000Z,2022-09-30T20:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=09/bars.parquet,23532,88402c48400fa08318ebf99a25525dbf229ee397556cb359e7cdaa542486e184,
TICKS,EURUSD,2022-10,Bid/Ask,TICK,4860363,2022-10-02T21:04:02.059Z,2022-10-31T23:59:57.910Z,normalized/EURUSD/year=2022/month=10/ticks.parquet,51427543,7ef14fae1e551af5931d2d05be6d595d585c70cc9938c56064d050fbab475afd,7167a02b209621ed5e5a49c4f3e4acf5527be10e70d4b74b6489b97bbacf6f72
BARS,EURUSD,2022-10,Bid,M5,6083,2022-10-02T21:00:00.000Z,2022-10-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=10/bars.parquet,157043,f1af5bdd8b99d81e39154688494c85e5b028e4706391e212e6045b66982a6415,
BARS,EURUSD,2022-10,Bid,H1,507,2022-10-02T21:00:00.000Z,2022-10-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=10/bars.parquet,22044,460d1fb6155cd279ed91326d9c5d9fb5e05b08c69ef77a3f301724dec38df308,
BARS,EURUSD,2022-10,Ask,M5,6083,2022-10-02T21:00:00.000Z,2022-10-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=10/bars.parquet,157112,b87bd00b14c19ea1e008ed33d3216d26b311bba2027cd24f1c725909f9f8c44f,
BARS,EURUSD,2022-10,Ask,H1,507,2022-10-02T21:00:00.000Z,2022-10-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=10/bars.parquet,22057,e3aa1a5ba5991a1b2590d1bdf93faf6afa3e25d455fdeca5f283151eb301991f,
BARS,EURUSD,2022-10,Mid,M5,6083,2022-10-02T21:00:00.000Z,2022-10-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=10/bars.parquet,173885,48928fe8a30a42f4290e00797775b25990d61afacd9f82b35126e27d8e23c28d,
BARS,EURUSD,2022-10,Mid,H1,507,2022-10-02T21:00:00.000Z,2022-10-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=10/bars.parquet,22725,0f4cfe8fcee90c77c2dfe22b6164eff3ce3c2e7d0b4e7064459908bf73a4ac55,
TICKS,EURUSD,2022-11,Bid/Ask,TICK,4428942,2022-11-01T00:00:00.080Z,2022-11-30T23:59:54.409Z,normalized/EURUSD/year=2022/month=11/ticks.parquet,47359930,9c76a92f557586849561cb11440de65412d37790b2cc137caf4c9d28d62d9451,f7404e9c54ab98d69441ae890c77722575b2fe080c57cfce118f57e5ec37faef
BARS,EURUSD,2022-11,Bid,M5,6323,2022-11-01T00:00:00.000Z,2022-11-30T23:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=11/bars.parquet,167175,6418ea6a7116f0559117e5d332e444c7f33c2073cddbc9757288bae934cbdf05,
BARS,EURUSD,2022-11,Bid,H1,527,2022-11-01T00:00:00.000Z,2022-11-30T23:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=11/bars.parquet,22973,3e1331739ef9d5258b083d1371362b9b6372732add4bf4a3d773b3d62df8050e,
BARS,EURUSD,2022-11,Ask,M5,6323,2022-11-01T00:00:00.000Z,2022-11-30T23:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=11/bars.parquet,167065,c2cff18c40a43d2da5ec936de19a9e2858d9b105b96e7ef77a539042c6295943,
BARS,EURUSD,2022-11,Ask,H1,527,2022-11-01T00:00:00.000Z,2022-11-30T23:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=11/bars.parquet,23121,cdf9b762ab522d0807500b42be20b92ffe6357d020881d625bfe97ff5d9c63f2,
BARS,EURUSD,2022-11,Mid,M5,6323,2022-11-01T00:00:00.000Z,2022-11-30T23:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=11/bars.parquet,183650,876e8b994e9faf67f7d40b7e9a109f36cd29385046614d95fcdc54f66d060c11,
BARS,EURUSD,2022-11,Mid,H1,527,2022-11-01T00:00:00.000Z,2022-11-30T23:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=11/bars.parquet,23724,f1323b02c57bede96910d9a9da181fa3df2b6406484f9bad6b2e98e43c22f5a6,
TICKS,EURUSD,2022-12,Bid/Ask,TICK,3531583,2022-12-01T00:00:00.157Z,2022-12-30T21:59:57.894Z,normalized/EURUSD/year=2022/month=12/ticks.parquet,37947383,711fa266f1f5c2acbe2295084d8efd8eb9f867db18c338f915e35d7f0881d5f4,7ec8028ecb5e0afd7046b295a0ff144e548b10670c775fcc8463b20f67c38684
BARS,EURUSD,2022-12,Bid,M5,6309,2022-12-01T00:00:00.000Z,2022-12-30T21:55:00.000Z,bars/EURUSD/bid/M5/year=2022/month=12/bars.parquet,155606,e9b95aa835dd871d8d0673c0a4979ab1a6a8cd90d53631cba2c85707b98c5bb9,
BARS,EURUSD,2022-12,Bid,H1,526,2022-12-01T00:00:00.000Z,2022-12-30T21:00:00.000Z,bars/EURUSD/bid/H1/year=2022/month=12/bars.parquet,22642,d7b10ec728fb7da17685fa16b2df927efe16c809997e9c185220a66fac19627d,
BARS,EURUSD,2022-12,Ask,M5,6309,2022-12-01T00:00:00.000Z,2022-12-30T21:55:00.000Z,bars/EURUSD/ask/M5/year=2022/month=12/bars.parquet,155555,4a73a5711cdce36bda8c979ae67334828280f902b815beb5a99f0227823c45e4,
BARS,EURUSD,2022-12,Ask,H1,526,2022-12-01T00:00:00.000Z,2022-12-30T21:00:00.000Z,bars/EURUSD/ask/H1/year=2022/month=12/bars.parquet,22530,d1ac74c314e0660d83dacd2e2d0ddeebe5323ba7e7fdfc5748626e0dc5c3ce7b,
BARS,EURUSD,2022-12,Mid,M5,6309,2022-12-01T00:00:00.000Z,2022-12-30T21:55:00.000Z,bars/EURUSD/mid/M5/year=2022/month=12/bars.parquet,174123,45e33b8ca5c14ea0bf08c312d5adc72029e6b3dbf9bdecf89fb5a73b812d1443,
BARS,EURUSD,2022-12,Mid,H1,526,2022-12-01T00:00:00.000Z,2022-12-30T21:00:00.000Z,bars/EURUSD/mid/H1/year=2022/month=12/bars.parquet,23500,8fb02af63f6280caf71fdbbaf1e973edbc2d89a975f5c525ed11d8849e201eef,
TICKS,EURUSD,2023-01,Bid/Ask,TICK,2971538,2023-01-01T22:04:01.067Z,2023-01-31T23:59:58.334Z,normalized/EURUSD/year=2023/month=01/ticks.parquet,32643724,3402e908b4c5fae0d8a3e5bf63b715fb1b7446c8bdcd67672238e875be0e4f26,7d604eadeddcbfa3eec76cd7a327f782cd597ef1608580c46e895d1e62e53d6f
BARS,EURUSD,2023-01,Bid,M5,6355,2023-01-01T22:00:00.000Z,2023-01-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2023/month=01/bars.parquet,162107,e8fc15a6ed50857cb82ca5e7c9d5119706928d2e4e79666de4ca97b32754661e,
BARS,EURUSD,2023-01,Bid,H1,530,2023-01-01T22:00:00.000Z,2023-01-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2023/month=01/bars.parquet,22657,364f6b330138091125e1f4a0524152a2e67fc3ded3c982c05d6fab5d324e493c,
BARS,EURUSD,2023-01,Ask,M5,6355,2023-01-01T22:00:00.000Z,2023-01-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2023/month=01/bars.parquet,162209,e20f4901b4071322785e5741e80ec1a836a96bef505b0f2ad4ce114cbdae2e80,
BARS,EURUSD,2023-01,Ask,H1,530,2023-01-01T22:00:00.000Z,2023-01-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2023/month=01/bars.parquet,22797,2daf04bd4d50834fd61c55dd7510d52f64b0bcd1d94b82fb554dec9a1667b47b,
BARS,EURUSD,2023-01,Mid,M5,6355,2023-01-01T22:00:00.000Z,2023-01-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2023/month=01/bars.parquet,179500,19ea0848b843e7c122de73343db471544bc5d0c805c8b6c8ed1f6a608bcfe3e2,
BARS,EURUSD,2023-01,Mid,H1,530,2023-01-01T22:00:00.000Z,2023-01-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2023/month=01/bars.parquet,23519,4f8b3b3a7a1a58254a865f8ae05fedcdddc459e3b7e0e960f0e6aa3f26ab6972,
TICKS,EURUSD,2023-02,Bid/Ask,TICK,2687210,2023-02-01T00:00:00.369Z,2023-02-28T23:59:57.003Z,normalized/EURUSD/year=2023/month=02/ticks.parquet,29501890,533d253904ce3afb902034a45fe3690bab5e83d573aa94e7c65733a22bf072da,412b9bccd10a09b9c814ddb5a5538c20ec126f97deff203d0fdf9ddd19defd8a
BARS,EURUSD,2023-02,Bid,M5,5757,2023-02-01T00:00:00.000Z,2023-02-28T23:55:00.000Z,bars/EURUSD/bid/M5/year=2023/month=02/bars.parquet,148736,f8ea8a1e34ff20c43c827a6279903ce1204b4c4e22999331dda763822e3f00c1,
BARS,EURUSD,2023-02,Bid,H1,480,2023-02-01T00:00:00.000Z,2023-02-28T23:00:00.000Z,bars/EURUSD/bid/H1/year=2023/month=02/bars.parquet,21248,b528b4e9aa1cafd00a1bab22241607dfaae5aca2b41d83e42eb9b170560daa83,
BARS,EURUSD,2023-02,Ask,M5,5757,2023-02-01T00:00:00.000Z,2023-02-28T23:55:00.000Z,bars/EURUSD/ask/M5/year=2023/month=02/bars.parquet,148924,5c3dd0c6f6d0442e10f71eb5bb59c357da789e5e4badf7e32ac2f1bbca1032a8,
