record_type,instrument,month,basis,timeframe,item_count,first_utc,last_utc,logical_path,bytes,sha256,contract_sha256
TICKS,USDJPY,2021-08,Bid/Ask,TICK,1034006,2021-08-01T21:00:52.027Z,2021-08-31T23:59:51.579Z,normalized/USDJPY/year=2021/month=08/ticks.parquet,12407160,8a480fb1d61f71afdf01b9cd7d57088cfe5e2108d76706ce8a2f034d26732b2e,3ac63d0f79792fa13b4f35545bc1bc14753ea9255370fb61b77cee883271af63
BARS,USDJPY,2021-08,Bid,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2021/month=08/bars.parquet,125948,2c06b4d0e228314af2e54563c809e5e271c57a8fa658aa0161cdda90c1d0e43d,
BARS,USDJPY,2021-08,Bid,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2021/month=08/bars.parquet,16629,0dd089863e6fcf8c8a5df420883626e22d1a2d2cef189b0aadd7558c1336c244,
BARS,USDJPY,2021-08,Ask,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2021/month=08/bars.parquet,126061,3d3d98fac33556d01d8709f07d41e9147f8260247bee052f2428d91c9c68be02,
BARS,USDJPY,2021-08,Ask,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2021/month=08/bars.parquet,16589,090e36fa0250217b8ae30342d1cf552971482859bf7d64de0fa7df559acc5437,
BARS,USDJPY,2021-08,Mid,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2021/month=08/bars.parquet,135201,8254e359d1149980ec572d7315b9d40c328c9ce2d0304ec2ef3a0a240ff9a98d,
BARS,USDJPY,2021-08,Mid,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2021/month=08/bars.parquet,17107,fee9886fcfd695bc0edc77acc1f5a9cce0682781eaaab46f6a0acc0f70c35f01,
TICKS,USDJPY,2021-09,Bid/Ask,TICK,1084211,2021-09-01T00:00:00.163Z,2021-09-30T23:59:59.889Z,normalized/USDJPY/year=2021/month=09/ticks.parquet,13031980,7eafaab2aff2789696cc2344ae83e146407dfb8a76ffe7d1c155e21ce2afb337,e5bf70cdbea4717889e600cc3a1a2bb42357275f87097d6e4c752a4a62702a89
BARS,USDJPY,2021-09,Bid,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/USDJPY/bid/M5/year=2021/month=09/bars.parquet,127266,cb8e07760f0e2ab08721846a5d2b1be3349f73a8cab875258d188749bb842c99,
BARS,USDJPY,2021-09,Bid,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/USDJPY/bid/H1/year=2021/month=09/bars.parquet,16607,637eced40481ba874c658c75ecc584f5a245fd0c4f3b8bc08eb60905a9cdb6e2,
BARS,USDJPY,2021-09,Ask,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/USDJPY/ask/M5/year=2021/month=09/bars.parquet,127156,33d693b07cfc71023387927ad5e3f5af24aa4a99bfcd5393bb9e5d35de49c5ab,
BARS,USDJPY,2021-09,Ask,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/USDJPY/ask/H1/year=2021/month=09/bars.parquet,16564,403327b87b4ff0bc932f2f21b8aa696f7ffa18e9f122276b28ecd196c68a6c0b,
BARS,USDJPY,2021-09,Mid,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/USDJPY/mid/M5/year=2021/month=09/bars.parquet,135744,66c587302463b24bcab57ec578f5eb81c035933ec3db4ffb189405080081c308,
BARS,USDJPY,2021-09,Mid,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/USDJPY/mid/H1/year=2021/month=09/bars.parquet,17095,45feb1ec9cf71191d60a39e423b013923e5c83c060b44fe3a71044671aaf906d,
TICKS,USDJPY,2021-10,Bid/Ask,TICK,1418880,2021-10-01T00:00:00.041Z,2021-10-31T23:59:58.575Z,normalized/USDJPY/year=2021/month=10/ticks.parquet,16895852,db05f7241cc320d33985312a4b8e2ee342cff7a4e0c5c76c8f0151003267a72d,7c02bcc0f421083d606f081501ff6133ea605ad92c14cea1000915600d4bfafc
BARS,USDJPY,2021-10,Bid,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2021/month=10/bars.parquet,125949,3d0eefe4ed4d366cee99d4afc4f05d9ef90003c64e85dd0a8fbb5c75004f2b9d,
BARS,USDJPY,2021-10,Bid,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2021/month=10/bars.parquet,16573,78061b5495cbbe38d517f4a01b240ca48468548ff48c847b13f2ad2ea86f97f6,
BARS,USDJPY,2021-10,Ask,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2021/month=10/bars.parquet,125977,f0a00375fed7d50c6bd187a17eea4ce4430a478ae0b8c84a31ea64b4859143d4,
BARS,USDJPY,2021-10,Ask,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2021/month=10/bars.parquet,16569,20764237004681391f8646bf6863359b9bf8e41cffcb0daebe1dcbe4c7132a4e,
BARS,USDJPY,2021-10,Mid,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2021/month=10/bars.parquet,133704,ffe9e0758756d16fd9a367ba7ab65d19e44fee4c2002066230308d25039c2743,
BARS,USDJPY,2021-10,Mid,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2021/month=10/bars.parquet,17033,7be94fe1ed5fd5ea57985532a97212db42a0792426de1bbc2afd5b8322ba4e38,
TICKS,USDJPY,2021-11,Bid/Ask,TICK,1779754,2021-11-01T00:00:00.164Z,2021-11-30T23:59:59.908Z,normalized/USDJPY/year=2021/month=11/ticks.parquet,20830170,b4d0c9282e018716e8466c57a1ac55b28a93e3fcaf05098b8fda63ba70b3d918,43c7a95c2714e992a299598904640d9e16ce924d580842e46226ad43e73677a8
BARS,USDJPY,2021-11,Bid,M5,6324,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/USDJPY/bid/M5/year=2021/month=11/bars.parquet,131592,a65ac5065829df8366b8597e4fd4142ac1adb2a7c032139e73e209d83e64ab13,
BARS,USDJPY,2021-11,Bid,H1,527,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/USDJPY/bid/H1/year=2021/month=11/bars.parquet,16693,50a9e9c2030e8336a29d2a20ed3c545f3d5c63d5df4153979c8b8bf732c1b6a3,
BARS,USDJPY,2021-11,Ask,M5,6324,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/USDJPY/ask/M5/year=2021/month=11/bars.parquet,131609,8ba490978a91d25ef99e858ccef34e4729978a77fb08e2a87e53ce92974c01f5,
BARS,USDJPY,2021-11,Ask,H1,527,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/USDJPY/ask/H1/year=2021/month=11/bars.parquet,16678,447ce78fabf7732b6b604bd3f3507fcc5903bf9863618b968dfa517d7cfbce99,
BARS,USDJPY,2021-11,Mid,M5,6324,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/USDJPY/mid/M5/year=2021/month=11/bars.parquet,139143,83a5d9c7be993de1efecbf53840969d8bf69646f3df53174f2cdb7fdbd97588c,
BARS,USDJPY,2021-11,Mid,H1,527,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/USDJPY/mid/H1/year=2021/month=11/bars.parquet,17224,bae00cc5943ab17ba3ebda9d915ae2effbd27a67fa558d4812f29c4cbc168489,
TICKS,USDJPY,2021-12,Bid/Ask,TICK,1518674,2021-12-01T00:00:00.010Z,2021-12-31T21:59:56.151Z,normalized/USDJPY/year=2021/month=12/ticks.parquet,17481701,2de196cb1cecf055acdc9589af4ec5f2cc6570f7bc4b5d37f54fc60ef03559a4,39df55f817654e312e1eb2a195df18a4bca5f58aef8d82099d8f70d65d26dbf2
BARS,USDJPY,2021-12,Bid,M5,6597,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/USDJPY/bid/M5/year=2021/month=12/bars.parquet,131732,1600df66ee95f74d6bb063740c3fb7da9475eb68ddcfb8fa6e2577b4f5b3aa10,
BARS,USDJPY,2021-12,Bid,H1,550,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/USDJPY/bid/H1/year=2021/month=12/bars.parquet,17079,1199fe1b62d69a6054abdb73e8896ef4db5da8f98690932c1adb2400c8cc3fe9,
BARS,USDJPY,2021-12,Ask,M5,6597,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/USDJPY/ask/M5/year=2021/month=12/bars.parquet,131572,57cf7978bc74d7fc4524495e93ab05ed1c833801f15f791dadb96fceeb077977,
BARS,USDJPY,2021-12,Ask,H1,550,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/USDJPY/ask/H1/year=2021/month=12/bars.parquet,17065,a9ee76f33a48d176cb632348e98e0fc68fef61c7873ca88af4d18ea2d09c42a5,
BARS,USDJPY,2021-12,Mid,M5,6597,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/USDJPY/mid/M5/year=2021/month=12/bars.parquet,141348,5b14675c47f5be1a3d5e52dbbf4610f3508776669b533463387d7e0428711be2,
BARS,USDJPY,2021-12,Mid,H1,550,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/USDJPY/mid/H1/year=2021/month=12/bars.parquet,17628,09aa15e5429c4967d2fa79d01deecf97b411a35bd2fa124d8d9c61c0e27f7ffa,
TICKS,USDJPY,2022-01,Bid/Ask,TICK,1459715,2022-01-02T22:00:05.513Z,2022-01-31T23:59:58.690Z,normalized/USDJPY/year=2022/month=01/ticks.parquet,17182429,50dd0039bf80b9a906bd1c6258ff9d2605856e324402676d18e1113d005bd2f6,e220051db69909e03d486d78922f9da2d60439c8895dfdb98f8f55e590354d43
BARS,USDJPY,2022-01,Bid,M5,6072,2022-01-02T22:00:00.000Z,2022-01-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=01/bars.parquet,126760,d904c69b685f2bb6b181272a75537e565975c39a6bf584939d4338b8ed9bff1b,
BARS,USDJPY,2022-01,Bid,H1,506,2022-01-02T22:00:00.000Z,2022-01-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=01/bars.parquet,16319,c4b29cc3d46a03dd9d40cbb339c689553da55aa746fe25bc8a59c191774a9c38,
BARS,USDJPY,2022-01,Ask,M5,6072,2022-01-02T22:00:00.000Z,2022-01-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=01/bars.parquet,126909,d9990230a0db8134bd954748e14c74952a544369fd9d996e28d646ead9bcf48f,
BARS,USDJPY,2022-01,Ask,H1,506,2022-01-02T22:00:00.000Z,2022-01-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=01/bars.parquet,16340,1dc7ee793346811412922020f6c527cb9396c6bae7d81edb1eea2db7441d760b,
BARS,USDJPY,2022-01,Mid,M5,6072,2022-01-02T22:00:00.000Z,2022-01-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=01/bars.parquet,134607,c9993b2f4f388a5f30e0d209b34f88b52e691de124b141903a4346b62a5bab45,
BARS,USDJPY,2022-01,Mid,H1,506,2022-01-02T22:00:00.000Z,2022-01-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=01/bars.parquet,16807,425ee6809f915cf5c7baf9255ad55b27d9b7d6a009a3a4057e1a0d2b57a36724,
TICKS,USDJPY,2022-02,Bid/Ask,TICK,1643673,2022-02-01T00:00:00.043Z,2022-02-28T23:59:57.903Z,normalized/USDJPY/year=2022/month=02/ticks.parquet,18863685,40271677aa165d6aa925c485e39d411e7c0b947a66d5abef7fd26092cc02d34f,2234ba5c6546582bbd91466988789577d03bb6a18dd4c74a363a429f610ffec5
BARS,USDJPY,2022-02,Bid,M5,5760,2022-02-01T00:00:00.000Z,2022-02-28T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=02/bars.parquet,118964,9fdba82312bc33db23e0c5b75f1bfacc3129c935b8b5c180381caeebcc38499f,
BARS,USDJPY,2022-02,Bid,H1,480,2022-02-01T00:00:00.000Z,2022-02-28T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=02/bars.parquet,15782,1fc613b80097646f0d8e1d290fae9de270ef286a0e92f9322d9b06c17d965b69,
BARS,USDJPY,2022-02,Ask,M5,5760,2022-02-01T00:00:00.000Z,2022-02-28T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=02/bars.parquet,119052,cb8fbeef76ddbfa8aa81c60e89e894f3ad83c918c91ddaad64d510d32dbf7b3e,
BARS,USDJPY,2022-02,Ask,H1,480,2022-02-01T00:00:00.000Z,2022-02-28T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=02/bars.parquet,15772,4c9868c37a81c402e4e667f51ca2bcef01d354f1229a386233c357ef6b747135,
BARS,USDJPY,2022-02,Mid,M5,5760,2022-02-01T00:00:00.000Z,2022-02-28T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=02/bars.parquet,127011,6caa93d4127e7faa3787917869673fb4a15a5ad9a467467cddf0021c9b60b3e8,
BARS,USDJPY,2022-02,Mid,H1,480,2022-02-01T00:00:00.000Z,2022-02-28T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=02/bars.parquet,16243,eea11eb4006958a30936493353f18b5fe08c0280f7fefd0a1ea3ccdfaee64a48,
TICKS,USDJPY,2022-03,Bid/Ask,TICK,2162777,2022-03-01T00:00:00.123Z,2022-03-31T23:59:59.416Z,normalized/USDJPY/year=2022/month=03/ticks.parquet,24856173,4398655b3adcc918625d288fa0e44ec15b04e44074930587022d547dde3d0109,00e196b14bc91e833ddb4b421435c58d20bf99a2f8e188aecbe417d39a5e754e
BARS,USDJPY,2022-03,Bid,M5,6636,2022-03-01T00:00:00.000Z,2022-03-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=03/bars.parquet,145626,4a398838f26333daf11b28e3887554a763001e53c383a1811040e59443da1b7b,
BARS,USDJPY,2022-03,Bid,H1,553,2022-03-01T00:00:00.000Z,2022-03-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=03/bars.parquet,18162,08cc146f5e89e99702a7a13bba42ef2ce2b92121c4648e47d63a37090b0f83a5,
BARS,USDJPY,2022-03,Ask,M5,6636,2022-03-01T00:00:00.000Z,2022-03-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=03/bars.parquet,145476,ecbbacd0bd711e879a4236e2f484a679807c76f9c0d7a436bc7622c0fee7f53d,
BARS,USDJPY,2022-03,Ask,H1,553,2022-03-01T00:00:00.000Z,2022-03-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=03/bars.parquet,18160,2aee2ef270e88655fd8a299ef423e04274337c0945536c32fc16b878ad582992,
BARS,USDJPY,2022-03,Mid,M5,6636,2022-03-01T00:00:00.000Z,2022-03-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=03/bars.parquet,151591,f3a7857c12724549c49045c62f7df9533b223b106ae32aecddfaba0db0bd827d,
BARS,USDJPY,2022-03,Mid,H1,553,2022-03-01T00:00:00.000Z,2022-03-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=03/bars.parquet,18759,56cc2f481b8efb5d77645e9b25d6364cea69dacb950f08ec166d713d0d672492,
TICKS,USDJPY,2022-04,Bid/Ask,TICK,2698212,2022-04-01T00:00:00.160Z,2022-04-29T20:59:57.594Z,normalized/USDJPY/year=2022/month=04/ticks.parquet,31040624,c2a2df8680d2cdda8d735648c36b3f81747caf4f7286b669735e8ddb654be462,267f2a2e1b34fdc8bd2cf7054a0ea349bc605f94a998ba2f8157e063fc38da69
BARS,USDJPY,2022-04,Bid,M5,6008,2022-04-01T00:00:00.000Z,2022-04-29T20:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=04/bars.parquet,132858,b585fab4b24114f8c864d104a77369b4b7da7712b9b7a486aac9cd70c34a5292,
BARS,USDJPY,2022-04,Bid,H1,501,2022-04-01T00:00:00.000Z,2022-04-29T20:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=04/bars.parquet,16945,6c05917a7dda14f1d9105056be82e63cd9102d509e69c046a23bb14fc5e8bfef,
BARS,USDJPY,2022-04,Ask,M5,6008,2022-04-01T00:00:00.000Z,2022-04-29T20:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=04/bars.parquet,132808,da39409e20bb5f2c218ab1ecca30044d6132df526d576096324d02a51750379f,
BARS,USDJPY,2022-04,Ask,H1,501,2022-04-01T00:00:00.000Z,2022-04-29T20:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=04/bars.parquet,16952,2c11f5cb727f933212da4a5b5ecca8f3d71396406cc278e1343b2a49114e6126,
BARS,USDJPY,2022-04,Mid,M5,6008,2022-04-01T00:00:00.000Z,2022-04-29T20:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=04/bars.parquet,138153,3e55f57ce60b1846b3c53e99724e2d17bad0b208def0e8a14ac2e979e2a9104f,
BARS,USDJPY,2022-04,Mid,H1,501,2022-04-01T00:00:00.000Z,2022-04-29T20:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=04/bars.parquet,17406,696a3a9196bbe02a7c0609b28a49761fced3b36876ef6ce6c56ae6553b003f9a,
TICKS,USDJPY,2022-05,Bid/Ask,TICK,2972454,2022-05-01T21:00:05.582Z,2022-05-31T23:59:57.776Z,normalized/USDJPY/year=2022/month=05/ticks.parquet,33350100,65bb73c1c184391eec2bf0bde2c275725ddb1e3593948887f134ffe5838cdce3,335e425be2c59d577b660f14023006f82038878de48418a01ea72232494146fd
BARS,USDJPY,2022-05,Bid,M5,6371,2022-05-01T21:00:00.000Z,2022-05-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=05/bars.parquet,138028,03cf096d00f8b380c7cec396c1a392f056909f7e0eb969b77ff80dbd4084991a,
BARS,USDJPY,2022-05,Bid,H1,531,2022-05-01T21:00:00.000Z,2022-05-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=05/bars.parquet,17480,7e46c367683ba0af1111d99bfe1168861fcbd43e12333befb9492527b796eee3,
BARS,USDJPY,2022-05,Ask,M5,6371,2022-05-01T21:00:00.000Z,2022-05-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=05/bars.parquet,138097,eb16c2bb28afb526173d62c642fe316caa0291cb050f49fa5915190fbeb04b0d,
BARS,USDJPY,2022-05,Ask,H1,531,2022-05-01T21:00:00.000Z,2022-05-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=05/bars.parquet,17412,b69323e2a4ee71807b2c913d424d52d1de4bda0a5c5b140773592e86066720cf,
BARS,USDJPY,2022-05,Mid,M5,6371,2022-05-01T21:00:00.000Z,2022-05-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=05/bars.parquet,144136,105222ffe2c036ebd985b1e022497c179cf0adec3ec23dfa630f9b9d78173f72,
BARS,USDJPY,2022-05,Mid,H1,531,2022-05-01T21:00:00.000Z,2022-05-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=05/bars.parquet,17974,4545fbd86795bdb27f73859d0b995f8d4f85fbd9830a4fab242bd880c27b2e1f,
TICKS,USDJPY,2022-06,Bid/Ask,TICK,3373410,2022-06-01T00:00:00.100Z,2022-06-30T23:59:57.446Z,normalized/USDJPY/year=2022/month=06/ticks.parquet,37876926,421e4800930b01a299076a7a0d3cd9a9fb4fc1658222f6a43a8139d3858d6fdf,91a6a4808025cc44c8c9b5a210b97eda68a11937b262904472b3962d9840ff0a
BARS,USDJPY,2022-06,Bid,M5,6330,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=06/bars.parquet,139301,2179eb2017abbe5d23a09a84ee5156fb4b485452acddfa70071ac7479a5e0390,
BARS,USDJPY,2022-06,Bid,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=06/bars.parquet,17281,250c7e1aa314da16167e508ac2592610fef1485b5b8f9d3f0cc323ec047fb3a6,
BARS,USDJPY,2022-06,Ask,M5,6330,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=06/bars.parquet,139321,bb973cb16bf52a21caad39561ad4eac78e00e67b3c19a052b289689e761e1f4e,
BARS,USDJPY,2022-06,Ask,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=06/bars.parquet,17274,8ad310e5ae1a835a31ba9078a124d015a347db6e67af2613a99c3b837c139e31,
BARS,USDJPY,2022-06,Mid,M5,6330,2022-06-01T00:00:00.000Z,2022-06-30T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=06/bars.parquet,144453,e81d626334b7917f88eaf218d629ab4fd074c1d6804f2cfe78ab7e11a4274e30,
BARS,USDJPY,2022-06,Mid,H1,528,2022-06-01T00:00:00.000Z,2022-06-30T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=06/bars.parquet,17771,c2d94e1005cfc6837591e85a3d1c6ccd2664a0a07b83c05ae7980873fa848d70,
TICKS,USDJPY,2022-07,Bid/Ask,TICK,3106407,2022-07-01T00:00:00.106Z,2022-07-31T23:59:59.343Z,normalized/USDJPY/year=2022/month=07/ticks.parquet,34491180,b171bac81ff6ee18b97d7842286f89408bebc7776c11c7c9b62c88282a369775,5dadfedd7203cfedfa13ab0706ae09f179569dcbd57e0b29266763d91b6f3283
BARS,USDJPY,2022-07,Bid,M5,6046,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=07/bars.parquet,132710,636e428cba051e4d5f8d475a2a4ccdd023d6937e167a80af5cc8e8ed3d9deac9,
BARS,USDJPY,2022-07,Bid,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=07/bars.parquet,16885,356890db1580b623db6287a8762bc8455ccf54c31c94118c0cb061460df5ce82,
BARS,USDJPY,2022-07,Ask,M5,6046,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=07/bars.parquet,132689,e14c094bab431a76146f31a41aae4651e99f118fd255595dbfe69544e4544607,
BARS,USDJPY,2022-07,Ask,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=07/bars.parquet,16833,74541a54eaa84e377c11ea0bd9aaec2b19f07061e05592a0f8df43bc2b033f83,
BARS,USDJPY,2022-07,Mid,M5,6046,2022-07-01T00:00:00.000Z,2022-07-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=07/bars.parquet,138009,65d9679928d3f941a8e84e5c14be1cfbd9f5b994d1a06c6e7283edd29f802188,
BARS,USDJPY,2022-07,Mid,H1,504,2022-07-01T00:00:00.000Z,2022-07-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=07/bars.parquet,17327,b3639b01485844d1272a92ac40bd3ad37de2f5308861e506b456ad8d517c66c5,
TICKS,USDJPY,2022-08,Bid/Ask,TICK,3534807,2022-08-01T00:00:00.152Z,2022-08-31T23:59:58.817Z,normalized/USDJPY/year=2022/month=08/ticks.parquet,41584314,d892866be7b52429a3d1d21bf1edf0b253b521b09eb65a1c4ce33ef77b97fff5,78b556db0c464b05a0898d5b3259772e41ecacf58aa2f1c4f23dc08ed11295e0
BARS,USDJPY,2022-08,Bid,M5,6622,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=08/bars.parquet,145423,1013deaa5497816a1ad7fad9ecb5dd4969b4a6b96c866df38793dde1b6dc1860,
BARS,USDJPY,2022-08,Bid,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=08/bars.parquet,18076,cbc38dd336e90579004915efab752e7c9cd50e5d0b78662ccb0a929d521174c7,
BARS,USDJPY,2022-08,Ask,M5,6622,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=08/bars.parquet,145401,d6b70bdf0d08368ffc1f44ace2ab59c90d2a7654391e65d15bcfdfeb9ccfab28,
BARS,USDJPY,2022-08,Ask,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=08/bars.parquet,18078,e5d2f52f04a4898b09fb651bf8b9b205e182fc5d67300d1c1b18286f54ab038d,
BARS,USDJPY,2022-08,Mid,M5,6622,2022-08-01T00:00:00.000Z,2022-08-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=08/bars.parquet,150641,d08eac37e71deb8c69029089386d8b4c28af10779b11405de5843d9e4d1c468d,
BARS,USDJPY,2022-08,Mid,H1,552,2022-08-01T00:00:00.000Z,2022-08-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2022/month=08/bars.parquet,18545,e6ed197b2a2495aea9fdb3627aca7437aa5efa6fa259ff6adad66b23c060acf0,
TICKS,USDJPY,2022-09,Bid/Ask,TICK,4708449,2022-09-01T00:00:00.071Z,2022-09-30T20:59:59.203Z,normalized/USDJPY/year=2022/month=09/ticks.parquet,53692111,e8281163b39a912d9a92aec21842d3e12224b84b4e7fdac9ae653aad2c66d9d8,fb5dfddf1ba65a4759783d77a21ea0baa93c09f1e6673b6e296e9f76efafd614
BARS,USDJPY,2022-09,Bid,M5,6299,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/USDJPY/bid/M5/year=2022/month=09/bars.parquet,138805,e73c11ef9de7b0959a2485086581ce6ef68f97b1c0abce6cdd7c3153f24ff8bc,
BARS,USDJPY,2022-09,Bid,H1,525,2022-09-01T00:00:00.000Z,2022-09-30T20:00:00.000Z,bars/USDJPY/bid/H1/year=2022/month=09/bars.parquet,17432,85f94c8f32f20c48c97a7314d6a1e7e37f1be482f025a91565ff7c9ace94f0a7,
BARS,USDJPY,2022-09,Ask,M5,6299,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/USDJPY/ask/M5/year=2022/month=09/bars.parquet,138742,fea48f1a91a263affcac8c5be6fe7882dc71ba07f2ebc87a84c3ea0d6ad4f0f3,
BARS,USDJPY,2022-09,Ask,H1,525,2022-09-01T00:00:00.000Z,2022-09-30T20:00:00.000Z,bars/USDJPY/ask/H1/year=2022/month=09/bars.parquet,17414,6cd5de20f82f8af3640372226e7654712bc41696eeff9c5cb85212d8ce707058,
BARS,USDJPY,2022-09,Mid,M5,6299,2022-09-01T00:00:00.000Z,2022-09-30T20:55:00.000Z,bars/USDJPY/mid/M5/year=2022/month=09/bars.parquet,144828,d331816b1da5716fa9815bbbd123e3f6140e1e2bff08dec29567f939d2b18d6a,
