specialist_id,outcome,count
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,ACCEPTED,2038
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,OUTSIDE_ENTRY_WINDOW,409
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,UNSAFE_H1_ATR_PERCENTILE,185
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,UNSAFE_SPREAD_P99,16
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,ACCEPTED,1974
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,OUTSIDE_ENTRY_WINDOW,474
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,UNSAFE_H1_ATR_PERCENTILE,182
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,UNSAFE_SPREAD_P99,29
