instrument,official_identifier,year,month,official_source_origin,expected_hour_files,observed_hour_files,total_raw_bytes,hour_file_hash_map_SHA256,frozen_manifest_SHA256,acquisition_manifest_SHA256,first_source_timestamp,last_source_timestamp,total_tick_count,retry_count,freeze_status,hash_validation_status,reused_without_download
XAUUSD,XAU-USD,2021,7,https://jetta.dukascopy.com/v1,744,744,76253947,bea5547a2a5727d45951c44141e7ade69af27d0eec844d334fedb0159dbd7579,4d598e2431814c6ffa405495ee47fb74b72eb13c402009e9ae058a32dc90f4f6,c8d8d5e7da3bd20502737273dae08af1d75587be54d858dfd8437f58a61c3a99,2021-07-01T00:00:00.246Z,2021-07-30T20:59:58.215Z,3462270,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2021,8,https://jetta.dukascopy.com/v1,744,744,75778829,2769fd6048bd6b31277dd9ddc5a399301e08a3fa7b5919ae1f375912ea342b9e,88fe67f75f801518a9b00c4d42e72054f8cde068849600a9240259effef45880,122387d2eaa84ac47c59ea057f73dfa0452884b3fe8b4aa9ce86385fc2b67b88,2021-08-01T22:00:00.191Z,2021-08-31T23:59:59.185Z,3458443,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2021,9,https://jetta.dukascopy.com/v1,720,720,94655958,71d8567e0bd47d75425a80415d38ce568d342c0f4b7dea8ff15555e2b4e6d521,bc303f5f413ba5390ac24083a0d0b19a842a953194ccfcd90743cb5f4bef099f,6e9df68a4832b12b94a86724a6e28e177ac96fa37e74b4f9969276d7524e9879,2021-09-01T00:00:00.076Z,2021-09-30T23:59:59.543Z,4370571,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2021,10,https://jetta.dukascopy.com/v1,744,744,90647653,820008aaa7ff0d588ca589ed44cfb1245919dfab15cd355ec1cf90f8c12ed44f,9f4a8d7a17b25b571e5cadfa3fc2174e5ccc6f5ff2d291a71bbaf4edd2f4ba0f,32e8aac25e2723470525a5d05ce23be796548816e8cd5ab8cd136454743eba11,2021-10-01T00:00:00.064Z,2021-10-31T23:59:59.385Z,4170152,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2021,11,https://jetta.dukascopy.com/v1,720,720,90401857,78dd8a9479862130c5c2b2390705062e6b8a3821079b523d55dea3616301b70e,df57a3416b1949299b44a500a06503dc634a5bb4bf6649e495a79bbb6ad3dbca,0e58fd59ba0bba5cbac6ecec9fdea8ff872f9e01bec083681ddcf042372d35a7,2021-11-01T00:00:00.040Z,2021-11-30T23:59:58.203Z,4156947,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2021,12,https://jetta.dukascopy.com/v1,744,744,74847034,1936324a804064d60c1ca246fecf96bcb6f252b931a8ae3915b3b0b9c8288413,2dde140996e289aa31367eb80008861b236d644e28ca47b7e254c9137975e939,922a6f95d8658f535f2b8a58079da5a2ae7cf8584e6469ca590aefa259735ba9,2021-12-01T00:00:00.551Z,2021-12-31T21:59:58.279Z,3436395,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,1,https://jetta.dukascopy.com/v1,744,744,88019737,211581d11768eb931cc0febcefd7305d05ba5753293aea5cfe965fb67ce36c41,77f178cb9064830bc0c8f5fb43058c22df401bcad6463ae916b11692c0657fff,1c2c0ca3ce230d8803db7265066ed805f1806f7f7bdd86c218cf8fcfb08b7f48,2022-01-02T23:00:00.245Z,2022-01-31T23:59:59.310Z,4049409,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,2,https://jetta.dukascopy.com/v1,672,672,106293674,14a9cd2af13633faf4eb32bab67fdf21cbeaad934a1b4e5145663d535d2168f9,8eddf432ccd29059d0564d21fd078ad3ce8146115eb66a54fd360d66ad465312,a610255e146f4fcb8cfd4d664c3faca630bba98a10492438c2533c299b28b734,2022-02-01T00:00:00.090Z,2022-02-28T23:59:59.812Z,4914145,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,3,https://jetta.dukascopy.com/v1,744,744,133205844,457dc9368917981cd9787c21905e320ce5d547731d96640a7ca139c4f0dce7db,e044772b8d485d2e837ec574fc3328bbb35a5c6262f2d9510986b35e0cee262c,28cf06fbdb20e63c447706b9cdd8de7a672fa3aa9e118e80f8d83065bbafb362,2022-03-01T00:00:00.017Z,2022-03-31T23:59:55.487Z,6173324,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,4,https://jetta.dukascopy.com/v1,720,720,101714319,215677f40acf39f43cf1580d6428a8ea7169c9e0d5ad057478b0313980163988,d4535c55a06dd8a124fa2c3144637df7db0da1501821b45e6235894cf849ca76,e810d8c2eaf32618f967fdde6f7142e1899f94a9b0efb0ec0259cc8913f181a3,2022-04-01T00:00:00.754Z,2022-04-29T20:59:58.646Z,4697480,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,5,https://jetta.dukascopy.com/v1,744,744,100558096,b30880466dd78f9dbb469cae5f34be7038078968aa9344f801acd10f875f8e06,d92c63f566047a3c426abbc0af6590d80f650fb56b6d28e9d87ba12047d1b86c,d3a2f7dbf19770df06de1ac5f993bd09e7165e822e5454c113121c866ffe1cf4,2022-05-01T22:00:00.220Z,2022-05-31T23:59:59.613Z,4628667,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
