stage,feature,coefficient,training_mean,training_scale
OPPORTUNITY,shared_range_atr,0.013279420989986019,1.1417030504537218,0.5401823970946066
OPPORTUNITY,shared_tick_ratio,-0.07049601797778327,1.6125933578048552,0.8038085001080101
OPPORTUNITY,shared_dxy_range_12_atr,-0.16503450537922695,4.8401731626063835,1.21879788583032
OPPORTUNITY,shared_eurusd_range_12_atr,-0.06569276068279135,5.053567643267173,1.2398436648332878
OPPORTUNITY,shared_spread_mean_pips,0.02836194785009287,0.3411340754387114,0.08409858382062478
OPPORTUNITY,shared_spread_std_pips,-0.048496286793232354,0.09872649599969811,0.01981335000211168
OPPORTUNITY,shared_spread_max_pips,-0.1722550063324164,0.5459330143546687,0.11988916456813167
OPPORTUNITY,shared_spread_last_pips,-0.057052073149133097,0.3526315789473652,0.12121894130059853
OPPORTUNITY,shared_realized_variance_pips2,0.24544506363671775,1.4869497607656907,1.2808712898774823
OPPORTUNITY,shared_late_tick_share,0.0011408864971992534,0.20476613682696357,0.08357905776182922
OPPORTUNITY,shared_tick_count_ratio_24,-0.07049601797778327,1.6125933578048552,0.8038085001080101
SIDE,contrast_aligned_return_1_atr,-0.018376728495034442,-0.011915190935272716,1.6662145144781106
SIDE,contrast_aligned_return_3_atr,0.23750701238632926,0.04911777956141855,3.1845345088051595
SIDE,contrast_aligned_return_6_atr,0.017461046973615234,-0.09420808249153087,4.233078689456721
SIDE,contrast_aligned_return_12_atr,0.040803124486983526,0.1835678402684115,5.129908127736518
SIDE,contrast_aligned_return_24_atr,-0.089741152806244,1.1971277840355337,6.015034837659752
SIDE,contrast_aligned_ema_gap_atr,-0.0020955093490845145,0.47470073986691336,2.4357738137391416
SIDE,contrast_aligned_anchor_gap_atr,-0.010968792376767077,0.5772924941788852,4.347643850307789
SIDE,contrast_aligned_close_location,0.0028867472132740844,-0.07563125613748843,1.300864517028879
SIDE,contrast_side_room_atr,0.46697574548813925,-0.11276094351409442,3.2435231727592524
SIDE,contrast_aligned_dxy_gap_atr,0.10490752403209433,-0.2992378191583446,5.629493310104885
SIDE,contrast_aligned_eurusd_h1_gap_atr,-0.20645495620988025,-0.40407750969148887,5.159602838439852
SIDE,contrast_aligned_bond_gap_atr,0.02862871418553242,-0.12509198742386543,4.30017778756409
SIDE,contrast_aligned_quote_change_imbalance,0.061793196386307016,-0.009241162788715541,0.17124058775040746
SIDE,contrast_aligned_three_bar_quote_change_imbalance,-0.10463721928695408,-0.001721319305744224,0.10121758710007993
SIDE,contrast_aligned_path_efficiency,0.2296676223556713,-0.011668281793879324,0.22070208748279607
SIDE,contrast_aligned_late_return_pips,-0.0840960648110728,-0.006060606060586889,1.5336507037704281
