stage,lane,gate_pass,trades,weekdays,trades_per_weekday,net_pnl_dollars,profit_factor,average_pnl_dollars,win_rate,closed_drawdown_dollars,active_weekday_share,positive_month_share,first_half_net_dollars,second_half_net_dollars,top_winners_removed_net_dollars,worst_weekday_dollars,best_weekday_dollars,maximum_risk_usd
development,CORE,,209,784,0.26658163265306123,170.91637298659512,1.480805139297299,0.8177816889310772,0.41148325358851673,36.781119010248965,0.20918367346938777,0.5555555555555556,9.104705884392315,161.81166710220282,-53.580055442504914,-24.23034975360065,33.36564173159515,21.708815281139437
development,ADDON,,735,784,0.9375,186.9594007179475,1.202269981481717,0.2543665315890442,0.5877551020408164,120.04837119897284,0.5803571428571429,0.3888888888888889,81.84121049383452,105.11819022411292,126.06225745161376,-9.574176372386713,12.318312923275824,6.385381109347067
development,COMBINED,,944,784,1.2040816326530612,357.87577370454255,1.2796372614966458,0.3791056924836256,0.548728813559322,99.85921769264111,0.6658163265306123,0.5,90.94591637822684,266.92985732631576,133.37934527544257,-24.23034975360065,33.36564173159515,21.708815281139437
validation,CORE,,356,521,0.6833013435700576,749.7689519180794,1.731007439573738,2.106092561567639,0.4550561797752809,252.67618853790165,0.32437619961612285,0.4166666666666667,12.672947978750823,737.0960039393286,254.8728148361346,-72.84,154.10383910747117,10.722408833680714
validation,ADDON,,490,521,0.9404990403071017,395.9228884161592,1.5107109824866687,0.8080058947268555,0.5653061224489796,78.74455396143452,0.6026871401151631,0.5833333333333334,239.97254048207316,155.95034793408598,319.81907620262353,-8.7965629350936,13.59828680198365,6.813713120142046
validation,COMBINED,False,846,521,1.6238003838771593,1145.6918403342386,1.6361759919353833,1.3542456741539464,0.5189125295508275,196.30773901033376,0.7024952015355086,0.3333333333333333,252.64548846082405,893.0463518734146,650.795703252294,-72.4101388888889,162.17588771858226,10.722408833680714
final_exam,CORE,,365,522,0.6992337164750958,3180.9781401028276,2.4722165621819143,8.715008603021445,0.44931506849315067,212.14063237367964,0.3103448275862069,0.7916666666666666,1182.9942411361108,1997.983898966717,1158.4165415085042,-123.05000000000001,387.46748757619,44.19064332455849
final_exam,ADDON,,542,522,1.0383141762452108,-235.0412099521606,0.8615951154791645,-0.4336553689154255,0.44649446494464945,532.4970134088958,0.6590038314176245,0.2916666666666667,255.8782913379814,-490.9195012901421,-353.7007763941821,-16.67461432515874,18.531408064387797,8.139346193922924
final_exam,COMBINED,False,907,522,1.7375478927203065,2945.936930150667,1.76341614020497,3.2480010255244403,0.4476295479603087,313.5955923619231,0.7586206896551724,0.7916666666666666,1438.8725324740924,1507.064397676575,923.3753315563438,-111.1145738390769,390.7131744869292,44.19064332455849
recent_tail,CORE,,138,261,0.5287356321839081,1997.983898966717,3.046612153030779,14.478144195410994,0.5,106.71191810695882,0.2567049808429119,1.0,749.0239519861416,1248.9599469805758,573.8611706047031,-83.28,387.46748757619,44.19064332455849
recent_tail,ADDON,,203,261,0.7777777777777778,-422.0179984526844,0.5447146908246289,-2.0789063963186423,0.3103448275862069,422.0179984526844,0.5632183908045977,0.16666666666666666,-219.59106061821234,-202.42693783447203,-478.38703291363765,-16.915355998305767,19.782131541260675,8.139346193922924
recent_tail,COMBINED,False,341,261,1.3065134099616857,1575.9659005140325,1.8280739503788999,4.621600881272823,0.3870967741935484,165.2401568757483,0.6666666666666666,0.75,529.4328913679291,1046.5330091461033,151.84317215201867,-82.90325337899766,387.46748757619,44.19064332455849
