event_id,event_type,event_time_utc,event_date,reference,source_kind,source_url,release_time_rule
PPI_2017-08-10,PPI,2017-08-10 12:30:00+00:00,2017-08-10,July 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08102017.htm,08:30 America/New_York
PPI_2017-09-13,PPI,2017-09-13 12:30:00+00:00,2017-09-13,August 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09132017.htm,08:30 America/New_York
PPI_2017-10-12,PPI,2017-10-12 12:30:00+00:00,2017-10-12,September 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10122017.htm,08:30 America/New_York
PPI_2017-11-14,PPI,2017-11-14 13:30:00+00:00,2017-11-14,October 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11142017.htm,08:30 America/New_York
PPI_2017-12-12,PPI,2017-12-12 13:30:00+00:00,2017-12-12,November 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12122017.htm,08:30 America/New_York
PPI_2018-01-11,PPI,2018-01-11 13:30:00+00:00,2018-01-11,December 2017,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01112018.htm,08:30 America/New_York
PPI_2018-02-15,PPI,2018-02-15 13:30:00+00:00,2018-02-15,January 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02152018.htm,08:30 America/New_York
PPI_2018-03-14,PPI,2018-03-14 12:30:00+00:00,2018-03-14,February 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03142018.htm,08:30 America/New_York
PPI_2018-04-10,PPI,2018-04-10 12:30:00+00:00,2018-04-10,March 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04102018.htm,08:30 America/New_York
PPI_2018-05-09,PPI,2018-05-09 12:30:00+00:00,2018-05-09,April 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05092018.htm,08:30 America/New_York
PPI_2018-06-13,PPI,2018-06-13 12:30:00+00:00,2018-06-13,May 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06132018.htm,08:30 America/New_York
PPI_2018-07-11,PPI,2018-07-11 12:30:00+00:00,2018-07-11,June 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07112018.htm,08:30 America/New_York
PPI_2018-08-09,PPI,2018-08-09 12:30:00+00:00,2018-08-09,July 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08092018.htm,08:30 America/New_York
PPI_2018-09-12,PPI,2018-09-12 12:30:00+00:00,2018-09-12,August 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09122018.htm,08:30 America/New_York
