run_id,probe_id,native_absolute_loss,python_absolute_loss,absolute_difference,match
run1,SELL_2000_2002_49,2.49,2.490000000000009,8.881784197001252e-15,true
run1,SELL_2000_2002_50,2.5,2.5,0.0,true
run1,SELL_2000_2002_51,2.51,2.509999999999991,8.881784197001252e-15,true
run1,SELL_2000_2024_99,24.99,24.99000000000001,1.0658141036401503e-14,true
run1,SELL_2000_2025_00,25.0,25.0,0.0,true
run1,SELL_2000_2025_01,25.01,25.00999999999999,1.0658141036401503e-14,true
run1,BUY_2000_1997_51,2.49,2.490000000000009,8.881784197001252e-15,true
run1,BUY_2000_1997_50,2.5,2.5,0.0,true
run1,BUY_2000_1997_49,2.51,2.509999999999991,8.881784197001252e-15,true
run1,BUY_2000_1975_01,24.99,24.99000000000001,1.0658141036401503e-14,true
run1,BUY_2000_1975_00,25.0,25.0,0.0,true
run1,BUY_2000_1974_99,25.01,25.00999999999999,1.0658141036401503e-14,true
run2,SELL_2000_2002_49,2.49,2.490000000000009,8.881784197001252e-15,true
run2,SELL_2000_2002_50,2.5,2.5,0.0,true
run2,SELL_2000_2002_51,2.51,2.509999999999991,8.881784197001252e-15,true
run2,SELL_2000_2024_99,24.99,24.99000000000001,1.0658141036401503e-14,true
run2,SELL_2000_2025_00,25.0,25.0,0.0,true
run2,SELL_2000_2025_01,25.01,25.00999999999999,1.0658141036401503e-14,true
run2,BUY_2000_1997_51,2.49,2.490000000000009,8.881784197001252e-15,true
run2,BUY_2000_1997_50,2.5,2.5,0.0,true
run2,BUY_2000_1997_49,2.51,2.509999999999991,8.881784197001252e-15,true
run2,BUY_2000_1975_01,24.99,24.99000000000001,1.0658141036401503e-14,true
run2,BUY_2000_1975_00,25.0,25.0,0.0,true
run2,BUY_2000_1974_99,25.01,25.00999999999999,1.0658141036401503e-14,true
