attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
127014,81eb780430341bad,RISK_SIGN_REVERSAL,145,84,61,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":8,""maximum_response_atr"":0.75,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""prior_threshold_z"":0.4,""session"":""ASIA"",""source_horizon"":1,""source_lookback"":480,""stop_atr"":1.2,""target_r"":1.5,""transition_lag_hours"":6}"
127015,d385ea7848a55203,RISK_SIGN_REVERSAL,1185,588,597,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":6,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":0.4,""session"":""ALL"",""source_horizon"":3,""source_lookback"":120,""stop_atr"":1.0,""target_r"":1.5,""transition_lag_hours"":3}"
127016,fbffddbbefef282f,RISK_SIGN_REVERSAL,456,231,225,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":4,""maximum_response_atr"":0.75,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":0.8,""session"":""ALL"",""source_horizon"":1,""source_lookback"":120,""stop_atr"":0.6,""target_r"":1.25,""transition_lag_hours"":6}"
127017,4208c20e2e63d46c,RISK_SIGN_REVERSAL,177,97,80,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":8,""maximum_response_atr"":0.0,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":1.2,""session"":""NY"",""source_horizon"":1,""source_lookback"":240,""stop_atr"":1.0,""target_r"":2.0,""transition_lag_hours"":1}"
127018,42b771f953c2b127,RISK_SIGN_REVERSAL,148,76,72,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.8,""hold_hours"":2,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":0.4,""session"":""LONDON"",""source_horizon"":1,""source_lookback"":240,""stop_atr"":0.6,""target_r"":1.0,""transition_lag_hours"":3}"
127019,49db7373bb752886,RISK_SIGN_REVERSAL,207,100,107,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":4,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""prior_threshold_z"":0.4,""session"":""NY"",""source_horizon"":6,""source_lookback"":480,""stop_atr"":0.8,""target_r"":1.25,""transition_lag_hours"":3}"
127020,7fea8c2fff35e5f8,RISK_SIGN_REVERSAL,296,161,135,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":6,""maximum_response_atr"":0.75,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":1.2,""session"":""ALL"",""source_horizon"":1,""source_lookback"":240,""stop_atr"":0.8,""target_r"":1.5,""transition_lag_hours"":1}"
127021,e30ed3c4be1c7abc,RISK_SIGN_REVERSAL,148,76,72,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.8,""hold_hours"":4,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""prior_threshold_z"":0.4,""session"":""LONDON"",""source_horizon"":1,""source_lookback"":240,""stop_atr"":0.6,""target_r"":1.25,""transition_lag_hours"":3}"
127022,3efe3899d03bb1a1,RISK_SIGN_REVERSAL,1406,712,694,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.4,""hold_hours"":6,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""prior_threshold_z"":0.4,""session"":""ALL"",""source_horizon"":1,""source_lookback"":120,""stop_atr"":1.0,""target_r"":1.5,""transition_lag_hours"":1}"
127023,3fcbc8b3f273002d,RISK_SIGN_REVERSAL,468,230,238,"{""acceleration_ratio"":1.0,""breakout_buffer_atr"":0.0,""channel_bars"":6,""current_threshold_z"":0.8,""hold_hours"":8,""maximum_response_atr"":0.0,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""prior_threshold_z"":0.4,""session"":""ALL"",""source_horizon"":1,""source_lookback"":480,""stop_atr"":1.2,""target_r"":2.0,""transition_lag_hours"":6}"
