family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,predicted_probability,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-02 15:55:00+00:00,2023-01-02 16:00:00+00:00,2023-01-02 16:00:00+00:00,2023-01-02 16:10:00+00:00,1.0661,1.0657,1.0667,1.06669,TARGET,0.38474395416172286,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-09 02:55:00+00:00,2023-01-09 03:00:00+00:00,2023-01-09 03:00:00+00:00,2023-01-09 03:05:00+00:00,1.06767,1.0680699999999999,1.06707,1.06708,TARGET,0.39551134856538156,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-09 03:25:00+00:00,2023-01-09 03:30:00+00:00,2023-01-09 03:30:00+00:00,2023-01-09 04:20:00+00:00,1.06717,1.06757,1.06657,1.06758,STOP,0.37768245274690787,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-27 05:25:00+00:00,2023-01-27 05:30:00+00:00,2023-01-27 05:30:00+00:00,2023-01-27 05:35:00+00:00,1.08679,1.0871899999999999,1.08619,1.0872,STOP,0.375209701722432,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-02-03 18:55:00+00:00,2023-02-03 19:00:00+00:00,2023-02-03 19:00:00+00:00,2023-02-03 19:50:00+00:00,1.08116,1.0815599999999999,1.08056,1.08057,TARGET,0.375845185868235,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-03-08 06:55:00+00:00,2023-03-08 07:00:00+00:00,2023-03-08 07:00:00+00:00,2023-03-08 07:30:00+00:00,1.05393,1.05433,1.05333,1.05434,STOP,0.42042596830317536,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-03-08 07:40:00+00:00,2023-03-08 07:45:00+00:00,2023-03-08 07:45:00+00:00,2023-03-08 08:50:00+00:00,1.0544799999999999,1.0548799999999998,1.05388,1.05389,TARGET,0.4009100042541352,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-03-21 18:10:00+00:00,2023-03-21 18:15:00+00:00,2023-03-21 18:15:00+00:00,2023-03-21 18:20:00+00:00,1.07627,1.07587,1.07687,1.07586,STOP,0.3787458214434866,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-03-28 06:40:00+00:00,2023-03-28 06:45:00+00:00,2023-03-28 06:45:00+00:00,2023-03-28 06:50:00+00:00,1.0810600000000001,1.0806600000000002,1.08166,1.08165,TARGET,0.38236171575840877,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-03-31 01:40:00+00:00,2023-03-31 01:45:00+00:00,2023-03-31 01:45:00+00:00,2023-03-31 01:45:00+00:00,1.09192,1.09152,1.09252,1.09151,STOP,0.3844515550247818,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-04-11 05:55:00+00:00,2023-04-11 06:00:00+00:00,2023-04-11 06:00:00+00:00,2023-04-11 06:35:00+00:00,1.08941,1.08981,1.08881,1.0888200000000001,TARGET,0.37543210821443923,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-04-11 13:55:00+00:00,2023-04-11 14:00:00+00:00,2023-04-11 14:00:00+00:00,2023-04-11 14:00:00+00:00,1.09215,1.09255,1.09155,1.09256,STOP,0.3776854726076542,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-04-11 14:10:00+00:00,2023-04-11 14:15:00+00:00,2023-04-11 14:15:00+00:00,2023-04-11 14:35:00+00:00,1.09243,1.09283,1.09183,1.0918400000000001,TARGET,0.3813518160921541,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
