expert,decile_id,start_utc,end_utc,trade_count,profit_factor,total_return_pct,max_drawdown_pct,avg_trade_R,verdict
session_extreme_retest_v0,1,2016-01-01T00:00:00+00:00,2016-12-12T21:35:59.900000+00:00,744,1.38097658672919,110.96318230140278,6.61542835708301,0.20460127726683738,PASS
session_extreme_retest_v0,2,2016-12-12T21:35:59.900000+00:00,2017-11-24T19:11:59.800000+00:00,764,1.4533406929604926,144.99447954309736,7.998067865171003,0.2385576362695637,PASS
session_extreme_retest_v0,3,2017-11-24T19:11:59.800000+00:00,2018-11-06T16:47:59.700000+00:00,665,1.6451006550581204,180.12577332506544,4.12862513649308,0.31387855345485854,PASS
session_extreme_retest_v0,4,2018-11-06T16:47:59.700000+00:00,2019-10-19T14:23:59.600000+00:00,805,1.5504357588427304,180.17695337910305,4.834816237762488,0.25997611362410167,PASS
session_extreme_retest_v0,5,2019-10-19T14:23:59.600000+00:00,2020-09-30T11:59:59.500000+00:00,771,1.338087632074961,90.6626296863351,5.720879772292652,0.17123450035478435,PASS
session_extreme_retest_v0,6,2020-09-30T11:59:59.500000+00:00,2021-09-12T09:35:59.400000+00:00,643,1.3940438854784205,89.35644752688656,6.052790586148824,0.20246949086219465,PASS
session_extreme_retest_v0,7,2021-09-12T09:35:59.400000+00:00,2022-08-25T07:11:59.300000+00:00,763,1.5755676919967165,226.6067327763306,5.844654363928163,0.31429677280183327,PASS
session_extreme_retest_v0,8,2022-08-25T07:11:59.300000+00:00,2023-08-07T04:47:59.200000+00:00,723,1.320720621513668,88.70413651636758,7.862066024682535,0.17952000737678878,PASS
session_extreme_retest_v0,9,2023-08-07T04:47:59.200000+00:00,2024-07-19T02:23:59.100000+00:00,765,1.5432997094930587,161.31935246556375,7.144562722294722,0.2550917478581151,PASS
session_extreme_retest_v0,10,2024-07-19T02:23:59.100000+00:00,2025-06-30T23:59:59+00:00,668,1.656857847110708,170.22779435809665,5.833412979521088,0.3015925990304732,PASS
